Gene,HCC_122_N,HCC_122_T,HCC_34_N,HCC_34_T,HCC_36_N,HCC_36_T,HCC_37_N,HCC_37_T,HCC_77_N,HCC_77_T,HCC_12_N,HCC_12_T,HCC_13_N,HCC_13_T,HCC_15_N,HCC_15_T,HCC_19_N,HCC_19_T,HCC_1_N,HCC_1_T
SMG5,6.58,25.04,4.6,16.22,6.95,11.57,11.78,11.64,8.86,12.68,9.3,14.89,7.08,24.86,4.56,25.93,9.49,16.86,11.27,32.12
SMG6,2.66,4.22,1.01,2.17,2.83,1.5,3.86,2.43,3.26,1.88,1.91,3.32,1.66,1.6,1.71,2.25,4.24,5.78,3.3,5.63
SMG7,5.45,17.42,2.99,9.81,8.41,11.93,7.87,12.21,5.38,7.9,4.02,8.97,2.81,8.13,7.34,9.58,7.04,10.93,5.86,13.57
SMG8,1.6,1.74,2.53,6.16,4.87,4.13,5.22,10.12,3.63,3.63,1.89,5.4,1.67,6.05,1.99,7.75,3.26,10.55,2.67,4.87
SMG9,2.62,5.02,1.57,2.54,3.34,3.47,4.55,3.7,2.81,3.83,2.32,4.61,2.3,5.13,1.96,3.6,5.07,6.15,3.7,9.29
SMN1,17.15,16.33,15.78,30.34,26.2,19.01,30.92,31.41,15.52,11.72,15.36,22.14,12.85,57.29,13.02,36.86,13.03,24.69,11.39,23.37
SMN2,9.66,13.71,7.16,23.92,12.98,13.16,11.43,21.12,9.35,5.38,5.63,8.55,2.76,11.47,3.38,5.56,0.21,0.18,6.57,10.1
SMNDC1,10.15,10.21,8.03,12.63,15.24,10.67,22.25,17.53,5.87,8.23,6.16,8.9,1.68,10.82,5.46,5.82,9.42,8.25,4.64,10.22
SMO,4.04,22.54,2.84,13.03,4.2,8.21,4.46,8.04,4.69,10.99,7.25,11.76,5.29,7.84,4.6,7.82,9.49,26.49,9.34,14.71
SMOC1,23,27.36,20.45,14.16,13.92,17.92,7.77,11.43,23.32,28.21,23.65,42.21,25.91,25.04,35.54,7.17,17.98,12.09,33.96,16.81
