Gene,HCC_122_N,HCC_122_T,HCC_34_N,HCC_34_T,HCC_36_N,HCC_36_T,HCC_37_N,HCC_37_T,HCC_77_N,HCC_77_T,HCC_12_N,HCC_12_T,HCC_13_N,HCC_13_T,HCC_15_N,HCC_15_T,HCC_19_N,HCC_19_T,HCC_1_N,HCC_1_T
FLJ14107,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0.06,0,0,0
FLJ14186,4.19,5.52,0.17,0.36,0.32,0.17,0.83,0.32,1.43,1.33,1.56,0.83,0.68,0.74,1.08,0.38,1.3,1.28,2.09,2.04
FLJ16341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FLJ16779,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02
FLJ20021,3.6,3.17,0.81,1.51,2.02,0.26,3.61,1.09,3.67,2.54,2.39,3.54,4.13,1.31,1.96,1.24,6.25,3.84,2.31,6.24
FLJ20518,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FLJ21408,0.1,0,0,0,0.09,0.19,0.12,0,0,0.07,0,0,0.13,0.17,0,0.09,0,0,0,0.23
FLJ22184,0.03,0.15,0,0.01,0.01,0.04,0.02,0.01,0.02,0.05,0.01,0.02,0.03,0.04,0,0.11,0.13,1.51,0.13,0.24
FLJ22447,0,0,0,0.03,0.29,0.07,0.3,0,0,0.05,0,0.08,0,0,0,0,0.04,0.03,0.09,0.12
FLJ22536,0,0.02,0.02,0.02,0.09,0.16,0.27,0.11,0.02,0.02,0,0.03,0,0,0,0.07,0.25,0,0.17,0.35
FLJ22763,0.32,0.17,0.81,0.09,0.22,0.13,0.32,2.8,0.96,0.46,3.18,1.18,1.86,0.19,0.45,0.08,0.9,0.28,0.76,0.67
FLJ23152,0.03,0,0.46,0,0.2,0.38,0.27,0.14,0.03,0,0.05,0.08,0,0,0,2.06,0,0.18,0.1,0.09
FLJ23867,2.75,0.21,0.86,0.13,3.86,0.59,4.68,0.11,1.23,0.37,0.76,1.37,0.66,0.53,0.75,0.44,3.16,0.11,1.58,9.69
FLJ25328,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0
FLJ25363,0,0,0,0.06,0,0,0,0,0,0.02,0.12,0,0,0,0,0.06,0,0,0,0
FLJ25758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0,0
FLJ26245,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0
FLJ26484,0.02,0,0.02,0,0.04,0,0.44,0,0.03,0,0.02,0.02,0.03,0,0,0,0.02,0.04,0.05,0.07
FLJ26850,0.03,0.03,0.06,0,0.06,0,0,0,0,0.02,0,0.04,0.18,0.06,0,0.09,0,0,0.09,0.08
FLJ27352,0.57,0.56,0.87,0.74,2.98,1.46,4.14,1.66,0.71,0.34,0.55,0.24,0.19,1.09,0,0.87,1.51,2.09,0.83,1.11
FLJ27354,0.07,0.15,0.07,0,0.19,0,0.25,0.06,0,0.09,0,0.07,0,0,0,0,0.39,0,0,0.4
FLJ30403,0.13,0.57,0.41,0.28,0.15,0.28,0.35,0.06,0.21,0.18,0.28,0.18,0.45,0.17,0,0.4,0.58,0.12,0.25,0.5
FLJ30679,0,0,0,0.02,0,0,0,0,0.03,0,0,0.03,0,0,0,0.02,0,0,0,0.05
FLJ30838,0,0.01,0,0,0,0,0.04,0.02,0.01,0.01,0,0,0,0,0,0.01,0.01,0.04,0,0.04
FLJ31306,11.01,10.43,9.81,9.61,17.6,10.6,24.92,8.33,4.86,4.99,6.98,13.59,3.26,5.2,6.06,2.78,9.99,5.48,7.78,13.31
FLJ31485,0.01,0.02,0,0,0,0,0.06,0,0.01,0,0.03,0.06,0.02,0,0,0,0.05,0,0.02,0.13
FLJ31662,0.42,0.97,0.42,1.17,0.91,0.99,1.16,0.7,0.62,0.87,0.81,0.54,0.45,0.97,0.27,0.64,0.74,0.49,0.97,1.13
FLJ31813,0.07,0.25,0.14,0.22,0.19,0.2,0.18,0.45,0.14,0.39,0.05,0.18,0.03,0.15,0,0.11,0.32,0.19,0.31,0.35
FLJ32063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FLJ32224,0,0,0.04,0,0.28,0,0,0,0,0.03,0.17,0.14,0.12,0,0.34,0.16,0,0.09,0.08,0.1
FLJ33065,0.13,0.17,0.15,0.26,0.2,0.14,0.4,0.24,0.13,0.2,0.08,0.49,0.11,0.15,0,0.5,0.35,0.28,0.04,0.33
FLJ33360,0.05,0.08,0.02,0.02,0.02,0,0.11,0.03,0.01,0.01,0.04,0.08,0.07,0.02,0,0.03,0.06,0,0.06,0.04
FLJ33534,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07,0,0,0,0,0,0
FLJ33581,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FLJ33630,1.59,1.35,2.7,4.03,3.98,1.17,4.3,1.44,1.17,1.18,0.81,2.54,0.8,3.87,0.61,1.01,1.57,2.1,1.11,1.21
FLJ34208,1.71,2.65,0.69,0.57,0.16,0,0.49,0.13,3.68,3.44,0.33,0.43,1.23,0.97,0.4,0.99,1.72,1.83,0.77,0.73
FLJ34503,0.14,0.02,0,0,0.02,0,0.2,0,0.02,0.01,0,0,0.03,0,0,0,0,0,0.1,0.13
FLJ34690,0.11,0.09,0.02,0.02,0.03,0,0.11,0.02,0.02,0.06,0.06,0.02,0,0,0,0.03,0.04,0.02,0.03,0.13
FLJ34747,0.08,0.3,0.1,0.27,0.12,0.13,0.46,0.12,0.16,0.35,0.29,0.25,0.14,0.23,0.17,0.25,0.27,0.12,0.3,0.29
FLJ35024,0.06,0,0,0.06,0.05,0,0.51,0,0,0,0.07,0.06,0,0,0,0.05,0,0,0,0
FLJ35282,0.42,0.68,0.19,0.97,0.31,0.22,0.12,0.38,0.29,0.39,0.12,0.08,0.15,0.22,0.58,0.25,0.15,0.34,0.32,0.34
FLJ35390,0.24,0.51,0.35,0.15,0.4,0.16,1.27,0.3,0.29,0.57,0.11,0.58,0.17,0.31,0.29,0.36,1.35,0.48,0.52,0.98
FLJ35424,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0
FLJ35776,1.63,0.16,7.28,18.28,5.99,4.87,10.63,12.44,1.45,2.58,2.63,4.11,4.07,6.01,6.31,8.2,8.18,9.17,3.89,7.94
FLJ35946,0.04,0.13,0.07,0.16,0.02,0.04,0.03,0.04,0.12,0.09,0.14,0.07,0.21,0.2,0.06,0.06,0.18,0.11,0.14,0.03
FLJ36000,0.03,0.01,0,0,0,0,0.03,0.02,0,0,0,0,0,0.01,0,0,0,0.01,0,0.03
FLJ36644,0,0.25,0,0.05,0.18,0,0.07,0.02,0.05,0.05,0.07,0.04,0.02,0,0,0.05,0.11,0.15,0,0.11
FLJ36777,0.28,0.17,0.17,0.11,0.19,0.14,0.21,0.04,0.12,0.11,0.27,0.21,0.23,0.22,0.35,0.06,0.22,0.06,0.06,0.2
FLJ37035,0.17,0.42,0.71,0.82,0.55,0.08,0.79,0.42,0.16,0.05,0.24,0.21,0.14,0.09,0.17,0.58,0.39,0.19,0.37,0.65
FLJ37201,0.13,0.06,0.1,0.25,0.11,0.05,0.09,0.11,0.03,0.02,0.01,0.03,0.02,0.27,0,0.36,0.12,0.02,0.04,0.1
FLJ37453,0.57,1.28,0.59,0.97,0.52,0.14,1.3,0.95,0.53,0.68,0.69,0.19,0.54,0.5,0.72,0.36,1.05,1.21,0.5,1.27
FLJ37505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FLJ38109,0,0,0,0,0,0,0,0,0,0.02,0.03,0,0,0,0,0.02,0.03,0.03,0,0
FLJ39051,0.21,0.48,0.22,0.66,1.42,0.97,1.44,0.9,0.6,0.19,0.27,0.47,0.48,1.73,0,0.93,1.76,0.22,0.38,3.43
FLJ39080,0,0,0,0.15,0,0,0,0,0,0,0,0,0,0,0,0.13,0,0,0,0
FLJ39534,0.05,0.12,0.15,0.02,0.21,0.08,0.11,0.25,0.13,0.28,0.11,0.11,0.09,0.17,0,0.11,0.18,0.21,0.12,0.08
FLJ39582,1.01,2.24,0.35,1.03,0.69,0.23,0.89,0.77,1.46,1.8,1.28,1.48,1.23,0.58,0.71,1.32,1.99,1.35,1.18,0.81
FLJ39639,0.15,0.26,0.16,0.31,0.15,0.02,0.52,0.1,0.22,0.26,0.07,0.14,0.1,0.43,0.3,0.23,0.41,0.33,0.18,0.39
FLJ39653,0.28,0.24,0.19,0.19,0.33,0.31,0.55,0.1,0.15,0.14,0.34,0.51,0.19,0.2,0.39,0.11,0.48,0.26,0.23,0.37
FLJ39739,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13,0,0,0,0,0.07,0
FLJ40194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FLJ40292,0.12,0.08,0,0,0.02,0,0.1,0,0.02,0,0.03,0,0,0.02,0,0,0.03,0,0.05,0
FLJ40434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FLJ40504,0.04,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0,0,0
FLJ40852,0.32,0.2,0.47,0.28,0.76,0.13,1.21,0.28,0.51,0.42,0.47,0.3,0.21,0.14,0.79,1.08,0.62,0.26,0.47,0.31
FLJ41200,0.02,0.1,0.02,0.15,0.58,0.1,1.6,1.81,0.16,0.09,0.02,1,0,0.05,0,0,0.22,0.23,0.49,3.77
FLJ41278,0,0,0,0,0.03,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0
FLJ41350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FLJ41484,1.89,1.52,0.19,0.06,1.41,0.42,0.84,0.04,1.29,0.89,0.43,0.42,0.24,0.01,0.29,0.11,0.97,0,1.07,1.61
FLJ41649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0
FLJ41941,0.08,0,0.02,0,0.03,0,0,0,0.04,0,0,0,0.05,0.03,0,0.13,0.04,0.04,0.02,0.13
FLJ42280,0.42,1.13,0.84,0.02,0.55,0.25,0.18,0.08,0.35,0.93,0.43,0.38,0.09,0.16,0.27,1.68,0.63,0.95,0.92,0.35
FLJ42289,1.01,3.7,0.46,0.12,0.41,1.27,0.47,0.03,0.54,1.89,0.8,0.37,1.03,0.37,0.77,1.05,0.56,0.23,1.33,0.94
FLJ42351,0.53,0.76,1.13,2.71,1.07,0.6,0.46,0,0.09,0.99,0.47,0.41,0.33,0.44,0,0.59,0.29,0.12,0.11,0.58
FLJ42392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FLJ42393,0.04,0,0.02,0,0,0,0,0,0,0,0,0,0.05,0.02,0,0,0,0,0.03,0.02
FLJ42418,0.13,0,0.1,0.06,0.04,0.38,0,0.04,0.01,0.06,0.08,0.05,0.03,0,0.24,0,0.24,0,0.13,0.15
FLJ42627,0.64,1.19,0.17,0.53,0.46,0.2,0.38,0.24,0.25,0.28,0.28,0.71,0.14,0.16,0.38,0.24,0.42,0.24,0.45,0.77
FLJ42709,1.3,0.24,1.11,1.54,4.33,0.28,3.87,2.38,0.9,0.58,0.45,1.87,0.14,0.31,0.54,0.06,2.65,1.57,1.1,5.43
FLJ42875,0.29,0,0.11,0,0.08,0.02,0.31,0.09,0.06,0.06,0.25,0,0,0,0,0,1.19,0.19,0.35,0.91
FLJ42969,0,0,0,0,0.06,0,0.09,0,0.02,0,0,0,0.09,0,0,0,0,0,0,0.03
FLJ43390,0.01,0,0.01,0,0,0,0.05,0,0,0,0,0,0,0,0,0.01,0,0,0,0.01
FLJ43663,1.93,5.3,1.15,2.1,2.4,1.54,5.14,1.64,0.73,1.75,0.96,2.31,0.36,0.95,0.55,0.97,2.62,1.32,0.41,1.31
FLJ43681,0.85,1.47,0.29,0.47,0.6,0.64,0.71,0.67,0.66,0.74,0.4,0.78,0.31,1.52,0.03,1.11,0.57,1.26,0.62,0.77
FLJ43826,0.01,0.02,0.02,0.06,0,0.02,0,0,0.01,0.06,0.03,0.07,0,0.23,0,0.03,0,0.02,0.05,0.03
FLJ43860,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FLJ43879,0,0.04,0,0,0,0,0.02,0.01,0,0.02,0,0.04,0,0.04,0,0.02,0.01,0.02,0.01,0
FLJ44054,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FLJ44511,0.07,0.15,0,0.14,0.02,0.01,0.05,0,0.06,0.19,0,0.05,0.02,0,0,0.02,0.06,0.12,0.22,0.95
FLJ44635,0.69,0.59,0.14,0.19,0.41,0.11,0.25,0.26,0.42,0.14,1.1,1.14,1.88,0.47,2.17,0.41,0.3,0.35,0.12,0.66
FLJ45079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01
FLJ45244,0.9,2.03,0.33,2.23,0.37,0.19,0.99,0.45,0.37,0.88,0.84,1.31,0.62,0.18,1.14,0.37,1.69,0.93,0.76,3.15
FLJ45340,5.07,11.4,0.19,0.38,0.61,0.41,1.36,0.34,1.35,2.78,1.11,1.49,0.53,1.3,1.15,0.67,1.78,1.27,1.62,2.13
FLJ45445,2.13,1.2,0,0.05,0,0,0.02,0.06,0.38,0.71,0.1,0.1,0.11,1.93,0.13,0.04,0.84,0.58,0.64,0.91
FLJ45513,0.31,0.04,0,0.06,0.02,0,0.24,0.02,0.01,0.01,0.11,0.07,0.12,0.06,0,0.12,0.05,0.04,0.11,0.23
FLJ45974,0,0,0,0.58,0,0,0.17,0.88,0,0.01,0,0,0,0.01,0,0.47,0,1.4,0,0
FLJ45983,0,0,0,0,0,0,0,0,0.02,0,0,0,0.05,0,0,0.02,0.04,0,0,0
FLJ46066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FLJ46257,0,0,0,0.01,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0
FLJ46300,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0
FLJ46361,0.03,0.05,0.01,0.04,0.09,0,0.06,0.03,0.06,0.06,0.14,0.05,0,0.03,0.03,0.03,0,0.02,0.07,0.17
FLJ46446,0.04,0.02,0.09,0,0.65,0,1.98,0.16,0.13,0.15,0.09,0.18,0.09,0.02,0,0.08,0.51,0,0.06,0.33
FLJ46906,0.66,1.28,0.7,0.2,0.75,0.34,2.38,0.19,1.02,0.49,3.24,1.71,1.47,0.89,0.07,0.23,2.39,2.21,2.57,3.89
FLJ90757,2.04,2.07,1.36,1.36,2.82,1.26,2.86,1.6,1.67,1.42,1.37,1.96,1.64,1.95,0.86,3.28,2.32,7.23,2.36,4.33
FLNA,12.83,8.76,1.26,0.78,7.51,1.89,34.3,3.84,10.65,12.8,3.89,15.71,2.09,3.76,2.47,3.48,30.79,8.63,8.36,44.58
FLNB,16.09,24.19,7.31,8.36,14.74,10.88,16.95,16.18,16.49,13.96,12.74,26.55,11.87,36.36,13.13,22.06,18.17,35.73,14.57,31.22
FLNC,0.2,0.1,0.01,0,0.22,0.75,0.64,0.09,0.18,0.21,0.09,0.31,0.12,1.54,0.01,0.27,0.96,0.01,0.13,1.75
FLOT1,44.39,69.39,31.32,55.41,54.01,44.89,80.84,74.56,49.35,36.35,33.12,65.11,50.47,53.16,38.92,88.63,58.76,53.85,40.63,113.7
FLOT2,21.73,32.34,11.15,12.44,12,18.08,28.34,15.14,21.24,26,13.75,24.25,22.77,58.94,11.03,33.11,26.44,37.01,18.98,39.39
FLRT1,0,0,0,0.01,0.06,0.31,0,0,0,0,0,0,0,0.05,0,0,0.02,0,0,0
FLRT2,0.32,0.11,0.58,0.01,2.83,0.45,6.63,0.18,0.31,0.09,0.16,0.46,0.22,0.07,0.41,0.08,3.03,0.1,1,4.16
FLRT3,2.28,0.94,3.52,6.83,5.16,4.25,8.46,5.06,6.8,15.96,3.69,7.91,1.68,1.35,9.68,7.27,3.12,5.28,3.53,4.53
FLT1,7.75,46.2,1.67,4.29,5.51,1.07,7.78,16.43,3.24,15.89,1.48,10.99,0.47,2.24,0.89,2.85,5.59,9.81,2.59,5.23
FLT3,0.19,0.12,0.4,0.01,0.55,0.05,1.19,0.22,0.11,0.1,0.12,0.32,0.02,0.04,0.27,0.11,0.59,0.01,0.12,0.78
FLT3LG,2.14,2.42,0.74,0.61,1.54,0.27,7.85,1.4,2.12,1.52,1.05,3.66,2.33,2.45,2.1,1.41,7.03,4.28,1.55,6.27
FLT4,2.55,4.47,0.45,0.56,0.64,0.19,3.09,1.27,1.85,2.09,0.73,2.11,0.6,0.54,0.4,0.28,3.36,2.07,1.94,6.2
FLVCR1,0.73,2.08,0.3,0.87,1.5,1.11,1.49,3.04,0.45,0.78,0.53,2.32,0.32,5.99,0.27,1.76,0.73,2.29,0.33,1.99
FLVCR2,10.37,8.82,6.31,3.9,9.56,10.87,5.59,10.26,11.26,8.05,5.94,3.45,4.07,3.46,11.14,1.68,4.51,1.44,13.26,10.63
FLYWCH1,3.53,7.35,0.32,0.61,0.54,0.38,2.48,0.72,3.2,4.08,1.18,1.67,1.64,2.1,0.2,0.89,3.37,3.46,2.06,4.5
FLYWCH2,4.67,11.26,1.2,1.72,2.24,1.37,6,3.24,6.85,7.6,1.59,5.51,4.24,11.63,2.42,2.41,8.98,7.71,6.26,10.93
FMN1,0.15,0.1,0.09,0.07,0.43,0.08,0.57,0.2,0.08,0.18,0.07,0.18,0.01,0.29,0.13,0.18,0.36,0.07,0.16,0.41
FMN2,0.02,0.01,0,0,0,0.01,0,0.01,0,0,0.01,0,0,0,0,0.06,0.01,0,0.01,0
FMNL1,2.41,1.32,0.32,0.16,1.14,0.24,8.17,1.53,1.72,1.81,0.99,2.66,0.37,1.14,1.19,1.13,6.26,0.75,0.84,3.77
FMNL2,3.15,2.81,1.51,0.84,4.11,1.63,5.88,3.35,2.45,1.68,0.47,1.88,0.13,1.47,0.67,3.68,2.31,1,1.34,3.49
FMNL3,0.53,0.62,0.26,0.39,0.96,0.37,3.18,1,0.49,0.96,0.21,1.41,0.1,0.63,0.44,0.67,2.04,0.66,0.47,2.51
FMO1,0.19,0.08,0,0.02,5.58,2.5,0.44,0.08,0.49,1.03,0.19,0.42,0,0.35,0.14,0.13,0.88,0.08,0.87,0.71
FMO2,2.09,0.44,1.06,2.46,2.8,0.3,5.89,0.15,1.94,0.8,0.12,1.34,0.08,0.04,0.11,0.04,3.45,0.54,1.85,3.91
FMO3,224.07,318.96,251.34,601.89,276.78,307.21,126.46,508.13,253.45,131.8,289.79,81.97,180.27,174.65,380.47,72.99,304.74,453.04,366.04,240.81
FMO4,19.41,40.29,13.22,19.8,20.48,23,8.89,21.78,19.63,23.45,13.51,11.36,10.1,4,18.16,23.67,12.55,9.55,14.16,8.49
FMO5,136.56,214.55,161.13,257.11,108.76,134.68,58.46,130.25,123.49,130.93,70.16,37.74,87.84,186.65,154.45,636.09,88.32,175.09,150.38,79.81
FMO6P,0.04,0.06,0,0,0.02,0,0.08,0,0,0,0,0,0,0,0,0.02,0,0,0,0.03
FMO9P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FMOD,7.38,0.57,1.93,0.12,15.25,4.67,23.92,1.84,4.86,2.58,1.39,7.36,1.36,5.14,1.72,0.46,15.3,0.5,4.65,35.89
FMR1,11.78,24.63,12.07,26.83,17.08,20.09,18.13,9.7,7.6,8.33,5.04,4.82,2.32,7.22,6.89,11.35,10.8,18.28,6.19,9.9
FMR1-AS1,0.03,0.22,0,0.02,0.05,0,0,0,0.01,0,0.02,0.02,0,0.03,0,0.06,0,0.04,0.02,0
FMR1NB,0,0,0,9.33,0,0,0,0,0,0,0,0,0.13,0,0,0,0,0,0.09,0
FN1,479.03,296.77,304.3,363.75,256.6,543.27,286.39,574.82,532.19,592.65,263.08,599.62,201.97,664.88,467.98,797.18,329.73,988.02,557.8,561.56
FN3K,30.41,77.83,5.33,6.81,9.45,15.59,7.9,7.24,28.32,47.86,27.15,14.81,20.97,20.9,13.01,19.32,27.98,20.59,26.16,17.46
FN3KRP,18.27,19.52,13.55,22.11,20,18.94,23.47,33.8,11.94,10.01,16.38,14.45,8.21,22.29,15.73,20.94,9.83,20.85,16.07,28.73
FNBP1,4.54,6.1,2.16,3.14,5.24,2.93,13.3,6.97,3.84,3.6,2.64,6.28,1.56,5.17,2.67,3.69,7.02,5.86,3.06,8.38
FNBP1L,3.67,7.78,3.81,8.62,9.07,3.9,8.5,14.89,3.84,3.46,2.41,6.1,1.34,7.29,2.36,5.09,4.54,12.34,4.17,5.99
FNBP4,8.71,7.98,2.7,5.26,8.41,4.66,12.34,8.16,3.9,5.24,3.58,6.27,1.51,7.19,3.62,8.19,5.86,7.57,4.56,9.81
FNDC1,0.21,0,0.08,0,1.81,0.23,2.04,0.25,0.34,0.14,0.05,0.63,0.01,0.03,0,0.04,0.96,0.08,0.31,1.41
FNDC3A,15.41,19.08,15.43,15.5,21.26,22.46,23.21,18.03,14.01,19.94,7.02,7.67,3.49,8.26,9.75,11.3,13.34,20.41,10.32,10.77
FNDC3B,13.76,10.88,8.43,8.68,10.05,10.91,12.21,15.06,6.57,8.39,2.92,7.87,2.77,17.64,4.69,13.89,6.62,23.54,4.91,6.55
FNDC4,31.85,21.28,35.91,3.88,25.15,23.53,23.45,5.71,46.35,51.65,48.33,62.39,64.61,6.61,42.13,25.57,23.57,2.92,27.27,29.37
FNDC5,6.27,37.68,1.98,7.12,13.79,8.88,14.33,2.98,15.06,22.1,21.17,24,2.22,0.1,4.71,2.43,23.38,16.75,48.66,13.12
FNDC7,0,0,0,0,0.01,0.01,0.04,0,0,0,0.02,0,0,0,0,0,0,0,0,0
FNDC8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06,0,0,0,0
FNDC9,0,0,0,0,0,0,0.03,0.04,0,0,0,0,0,0,0,0,0,0,0,0
FNIP1,3.97,5.51,2.6,8.58,5.17,6.32,4.58,6.75,3.18,5.93,1.51,2.68,0.86,2.57,2.38,3.53,2.49,7.82,1.83,3.47
FNIP2,6.53,9.91,2.7,2.24,4.29,4.8,4.41,2.17,4.61,23.05,3.13,6.33,0.96,4.74,2.95,8.17,3.72,4.22,7.07,2.07
FNTA,14.94,13.13,23.13,18.84,38.59,55.34,38.78,17.21,17.54,8.03,14.28,30.16,9.68,34.28,7.81,15.7,26.01,23.94,18.28,83.55
FNTB,0.93,1.32,0.35,1.22,0.55,0.41,0.85,0.43,1.27,2.84,0.19,1.04,0.15,1.72,0.37,1.17,1.38,1.03,0.5,0.77
FOLH1,12.83,7.01,11.94,7.69,6.19,1.1,6.58,37.72,14.25,15.75,12.29,11.85,7.73,7.99,10.34,9.98,9.82,14.62,16.47,6.81
FOLH1B,7.21,10.62,4.4,0.44,1.57,0.32,4.61,26.71,8.31,4.26,11.86,8.83,6.45,0.67,6.51,5.1,8.45,1.54,8.55,3.37
FOLR1,0.05,0,0.72,0,1.64,0.05,1.78,0,0.08,0.04,0.27,0,0,0.5,0,3.76,1.12,0,0.63,1.54
FOLR2,34.53,9.53,10.08,4.73,33.29,3.66,40.38,12.22,26.11,36.01,5.8,36.86,12.37,30.68,11.01,24.67,30.46,6.76,9.66,36.44
FOLR3,0.84,0.34,0,0,0,0,0,0,0,0,0.31,0.14,0.08,0,0,0,1.3,0.12,0,0.07
FOLR4,0,0,0,0,0,0,0.09,0,0.05,0,0,0,0.19,0,0,0,0.25,0,0.06,0
FONG,1.92,3.76,3.94,5.31,0.99,1.13,2.86,2.35,2.98,4.55,0.41,0.59,1,0.71,2.31,0.75,2.11,5.26,1.74,1.21
FOPNL,10.5,13.08,11.3,25.85,20.13,16.48,21.95,18.92,8.05,8.19,7.57,11.51,3.8,31.36,9.96,11.14,9.77,24.16,8.07,12.3
FOS,1534.38,40.35,61.77,1.69,18.75,7.39,151.05,54.21,109.6,147.68,242.37,168.88,16.89,4.9,73.43,15.16,171.82,10.37,51.3,123.51
FOSB,127.29,14.87,2.27,0.27,13.2,0.95,192.45,20.97,7.66,33.16,132.47,187.8,5.44,0.32,24.92,1.04,33.75,4.85,5.47,14.23
FOSL1,6.47,2.41,0.19,0,4.37,0.29,13.33,1.42,2.66,3.47,3.88,11.95,0.22,0.07,1.75,0.12,2.47,0.44,0.1,1.02
FOSL2,12.24,14.34,0.55,2.18,2.24,1.49,15.33,5.24,9.86,19.18,5.97,11.09,3.8,3.58,4.19,1.72,12.85,6.63,1.85,5.8
FOXA1,6.34,5.57,6.52,9.88,12.14,12.1,4.73,13.42,3.88,4.87,5.09,7.51,2.31,4.95,4.5,12.64,8.2,8.73,7.6,6.47
FOXA2,10.95,10.86,8.36,24.93,9.47,10.04,5.74,15.83,14.06,10.74,15.01,9.27,8.34,13.9,7.52,16.82,10.84,21.47,6.04,12.81
FOXA3,22.61,16.04,18.65,6.61,15.69,21.63,13.14,9.36,14.66,4.07,30.69,62.82,30.53,14.48,40.96,2.97,29.87,35.34,29.64,22.96
FOXB1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FOXB2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FOXC1,0.52,0.78,0.51,0.2,1.42,0.6,3.76,2.06,0.84,1.35,0.35,2.1,0.12,0.13,0.22,0.12,1.98,0.21,0.49,2.59
FOXC2,0.02,0.06,0,0,0.03,0,0.24,0.05,0.06,0.09,0,0.09,0,0,0,0.05,0.19,0.03,0.05,0.29
FOXD1,0,0.04,0.06,0,0.04,0,0.34,0.04,0,0.01,0,0,0,0,0,0,0.05,0.02,0.02,0.02
FOXD2,0.05,0.26,0.04,0.12,0.09,0.17,0.13,0.05,0.11,0.1,0.06,0.38,0.01,0.43,0.08,0.43,0.08,0.09,0.13,0.2
FOXD3,0,0,0.13,0,0.02,0,0,0,0,0,0,0,0.03,0,0,0.02,0,0,0,0
FOXD4,0.06,0.06,0,0,0.08,0.04,0.04,0,0.13,0.03,0.03,0.05,0,0.11,0,0,0.02,0.02,0.04,0.07
FOXD4L1,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0.02,0,0.02,0.05,0,0,0.03
FOXD4L2,0.02,0,0,0,0,0.03,0.01,0,0,0,0,0.02,0,0.01,0,0,0,0.01,0,0.01
FOXD4L3,0,0,0,0,0,0.02,0,0.02,0.03,0.03,0,0.02,0,0,0,0.02,0,0.04,0.02,0.05
FOXD4L4,0.02,0,0,0,0,0.03,0.01,0,0,0,0,0.02,0,0.01,0,0,0,0.01,0,0.01
FOXD4L5,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0
FOXD4L6,0.03,0,0,0,0,0,0.21,0,0,0,0,0,0,0,0,0,0.11,0,0,0
FOXE1,0,0,0,0,0,0,0.11,0,0,0,0,0,0,0,0,0.02,0,0,0.01,0.18
FOXE3,0,0,0,0.02,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0.03
FOXF1,2.34,0.36,0.46,0.1,2.42,0.2,4.04,0.48,0.72,0.52,0.17,1,0.33,0.06,1.06,0.15,2.6,0.12,0.71,2.09
FOXF2,0,0.04,0.12,0,0.24,0.06,0.1,0.14,0,0.07,0,0,0,0,0,0.02,0,0,0.11,0.37
FOXG1,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0.02
FOXH1,0,0.02,0,0,0,0.08,0,0,0.03,0.03,0,0.05,0,0.04,0,0,0,0.06,0.05,0
FOXI1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
