Gene,UC4,UC5,CD5,CTR1,CD2,UC3,CD1,UC2,CTR2,UC1,CD6,CTR4,CD3,CTR3,CTR5
SHISA7,0.033951287,0.008075528,0,0,0.01348607,0.023611852,0.024316329,0.024476834,0.028004397,0.024555745,0.040982411,0.014322236,0,0.019387024,0.027863731
SHISA8,0.10202896,0.034668905,0.140696132,1.225721655,0.086845209,0.076025712,0.260979986,0.201405358,0.338133293,0.193269685,0.703763396,0.176773788,0.579215455,0.090165922,0.05233431
SHISA9,0.60299834,0.322920365,0.221253476,0.432048179,0.150576658,0.065397712,0.324116587,0.355915624,0.385394815,0.5610991,0.70765719,0.557835148,0.389739799,0.265125041,0.289403003
SHISAL1,6.307213346,4.129084231,2.901888081,3.525717549,3.82239987,2.398189098,4.313251123,2.160236719,2.686309264,4.938376338,5.816781749,3.083401148,4.260312657,7.180709621,1.668998194
SHISAL2A,0.178381968,0.46286486,1.076186914,2.619061855,0.370386624,0.413526657,0.406507054,0.915806842,0.334401531,0.508249837,1.541523294,0.410453645,1.127745327,0.401268681,0.266177468
SHISAL2B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SHKBP1,31.08068156,33.91016139,28.06554001,32.81245152,29.35485585,37.41587982,21.35301458,35.53911572,24.38264093,22.82569227,28.23993859,21.96495899,26.99703077,23.59947913,40.94769627
SHMT1,7.669418939,15.11187985,8.323118861,20.20194447,15.92317104,12.29122261,12.92879503,13.77753327,14.64536133,9.299729425,10.04288421,15.39488415,9.430244725,13.21602449,16.26330571
SHMT2,23.94758045,34.26523513,23.61491716,30.34937533,22.34192323,34.36039799,18.46352381,61.56628027,23.537237,26.86101346,26.3912698,17.71971811,22.11270283,17.0011503,29.40991903
SHOC2,19.6513019,21.07557259,26.13434418,22.62653242,19.29200169,23.58010926,20.59513258,24.50249114,18.99514446,23.47696316,18.82617305,22.66751977,21.63167236,21.93067118,24.44965325
SHOX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SHOX2,0.045481912,0.29209033,0.087806254,0,0,0.052718286,0.423471166,0.163948607,0,0.13158173,0.082351448,0,0.090369825,0,0.08398549
SHPK,4.26021417,6.628476846,5.578445379,7.052331493,7.687156734,6.200387426,6.436361683,6.324893495,7.122669846,5.186916034,8.84468068,6.553542662,7.239622539,8.840593887,6.090127281
SHPRH,1.853194928,1.935051154,2.894451832,2.838886315,2.692120295,2.159441915,3.045352968,2.27398839,2.483452337,2.9894174,4.027456508,2.143630245,3.064419476,2.280646758,1.485108189
