Gene,PC_1 prostate tumor,PC_1 matched normal tissue,PC_2 prostate tumor,PC_2 matched normal tissue,PC_3 prostate tumor,PC_3 matched normal tissue,PC_4 prostate tumor,PC_4 matched normal tissue,PC_5 prostate tumor,PC_5 matched normal tissue,PC_6 prostate tumor,PC_6 matched normal tissue,PC_7 prostate tumor,PC_7 matched normal tissue,PC_8 prostate tumor,PC_8 matched normal tissue,PC_9 matched normal tissue,PC_9 prostate tumor,PC_10 matched normal tissue,PC_10 prostate tumor
RPS4Y1,221.0067,128.5792,123.5964,214.7668,189.8342,88.1102,184.9322,182.3807,172.3643,100.846,199.6345,118.4396,196.8146,176.475,168.714,144.2565,122.7922,194.0947,201.0754,141.2817
ASIC3,4.8591,1.3954,0.7378,0.955,0.386,0.9087,0.9662,0.802,1.2707,1.5383,0.48,0.8582,1.7385,1.7645,0.3961,1.0562,1.0828,0.8032,0.2054,0.4526
RABGAP1,16.9219,19.6877,23.2824,17.922,15.6441,22.2409,14.9802,14.0776,15.9852,17.8574,17.5489,21.4061,15.024,17.645,12.8331,16.8561,15.4024,16.7709,14.2443,17.0826
FAM76B,3.5011,2.5371,2.987,2.2144,5.0045,3.9068,2.6949,1.5431,3.7347,4.7548,2.9877,3.3795,2.0005,1.7637,2.4457,3.2328,2.7968,3.4089,1.8124,2.8593
EXOSC1,17.1102,15.3361,21.8522,16.3111,14.718,15.8054,18.898,26.4687,23.199,20.9575,21.1233,16.6681,19.2899,17.6369,21.8693,22.0803,27.82,30.4128,24.5948,19.5614
MGAT3,0.2195,0.4378,0.3092,0.0909,0.6127,0.9706,0.3563,1.2357,0.1898,0.3676,0.3378,0.9025,0.5617,1.7635,0,0.2181,0.5309,0.7239,0.0917,0.3117
COL4A2,32.9621,83.508,67.2647,24.2524,53.2378,76.9616,73.0754,34.3143,40.231,74.9381,54.7912,79.4222,74.0509,176.2853,21.2091,116.6343,92.4549,64.8444,31.0596,85.7782
LGALS7B,0.1736,0,0,0,0,0,0,0.1557,0,0.0852,0.713,0.8235,0.2517,1.7628,0.2229,0.3141,0,0,0.3852,0
PIAS1,20.477,21.1564,24.3553,15.0927,18.9022,42.2273,19.1617,18.763,15.4574,19.9796,19.383,26.8537,16.0613,17.627,19.7001,21.607,16.9133,21.5781,22.8021,34.1889
ABLIM3,7.5026,5.0362,5.2276,3.0434,3.9551,4.7663,7.543,10.4984,7.9321,6.3553,3.5323,5.1715,4.892,17.6237,9.1836,6.5588,3.6409,5.0512,3.1656,5.9922
OXSR1,12.5504,11.9632,13.966,15.4542,9.8181,14.734,10.1044,8.1985,12.4572,13.1059,12.0921,13.6153,11.7939,17.6207,13.4089,14.5515,9.7051,12.1852,8.3313,10.9667
LGR6,0.8002,6.6561,2.5226,1.0795,0.5368,6.0903,0.3639,5.1732,0.2618,2.743,1.3621,11.3635,2.9835,17.613,1.2882,11.2272,1.3816,3.6675,8.9572,1.0331
SOX13,19.5594,18.0266,12.912,8.3999,10.5689,20.9177,15.5822,25.9764,12.4084,15.5194,11.2471,13.9088,14.7319,17.6118,13.5042,17.7498,13.7217,12.8977,14.7769,21.3856
TRAM1L1,2.7923,2.5841,2.0318,4.7807,3.4531,1.5462,7.0015,0.9092,4.445,2.9103,3.1092,1.6161,1.7195,1.761,1.7163,1.863,2.1046,1.2489,3.6651,2.1499
XPNPEP1,34.6459,34.5551,24.519,18.1991,19.2181,27.4394,19.7483,17.706,26.8212,27.813,24.589,35.6894,23.4696,17.6084,21.9427,26.7922,17.475,19.4337,34.6479,23.0308
STXBP4,2.1794,1.5549,2.815,1.534,1.422,2.8086,2.088,1.2481,2.2708,2.1358,2.2045,2.1917,2.0505,1.7607,1.769,1.9192,2.1413,1.9324,1.1736,2.3712
RELB,3.6521,5.1497,11.5383,7.6817,9.4526,5.4268,4.5654,10.1124,7.7645,9.1692,7.3033,6.6578,11.1085,17.6009,2.6677,5.3024,12.7396,12.3139,4.939,8.9305
OTUD3,3.03,2.3911,2.299,2.1861,1.9845,3.2664,2.7407,2.5069,2.1467,2.9016,2.4397,3.0025,2.0698,1.7598,1.1497,2.9211,1.9194,1.9067,1.9902,2.6395
DCAF17,1.8946,2.2176,2.6115,3.5561,4.0386,3.579,3.8534,1.5547,2.4582,3.2731,3.1666,3.3346,2.0203,1.7592,2.7477,2.476,2.7857,2.874,1.8452,2.2212
ANKS1B,1.153,1.2738,1.1425,1.236,0.9335,1.6985,1.101,0.5628,1.1818,1.4311,1.1612,1.8484,1.1445,1.7592,1.3386,2.4341,1.5318,0.8719,0.8117,1.2148
OLFML1,6.0522,12.4348,11.0813,9.2793,7.7761,15.8358,10.7157,18.5617,4.7938,8.6643,9.071,19.7081,11.7223,17.5915,6.0746,15.5223,11.8071,12.7219,11.8785,9.7845
EML2,16.7007,28.3142,14.2037,9.5773,6.3871,12.251,8.7656,16.743,11.5052,11.4676,10.3657,13.5607,15.9831,17.5914,10.5738,13.4644,8.231,10.5165,18.9502,12.7046
CD8B,1.1953,3.4293,5.6729,2.3623,8.3003,3.31,2.9969,6.5993,3.0711,3.0839,4.168,3.2714,1.8369,1.7591,1.2461,3.1335,7.8141,8.5081,2.7478,4.8092
PAPD5,2.038,1.9486,1.9328,1.7345,1.7759,2.7218,2.0679,1.3719,2.3901,2.4576,2.5467,2.3085,2.2421,1.7589,2.3328,2.8674,2.1082,2.5802,1.2468,1.5141
OAS2,12.4586,11.1098,12.6362,3.2488,16.883,6.5186,8.2156,11.3337,35.1619,19.9673,14.6515,9.7234,5.163,17.5881,19.7397,8.2701,21.3988,12.7367,14.3991,19.2632
HCG26,2.7916,2.2057,1.51,0.1572,2.3182,1.3185,0.8633,3.7233,2.6232,3.2884,1.7665,2.0129,1.6911,1.7583,0.2549,0.6062,7.5012,3.6091,0.859,2.0314
C16orf46,2.2859,2.0118,3.1045,2.7137,1.2016,3.2228,1.7068,2.4385,1.8429,2.3891,2.9478,3.3988,2.3196,1.7573,2.4919,1.5743,1.6237,1.6883,3.9268,2.5185
PNPLA6,12.1977,11.9181,9.9005,8.1917,8.597,10.9929,11.1208,12.1402,7.3522,12.0723,9.0806,11.3502,11.7816,17.5701,7.0543,9.837,12.7247,11.6447,7.9822,12.5862
SGTB,1.2082,2.6038,2.2702,2.5342,2.441,2.6339,2.4323,1.4091,2.0466,2.028,2.1281,2.2123,1.6545,1.7566,1.5443,1.9967,2.605,2.7266,1.5979,2.1345
RPA2,19.3875,19.4793,31.1072,20.363,23.3435,24.0624,26.2966,31.8779,18.0452,16.134,22.1149,22.9294,15.0218,17.564,18.3322,20.9302,15.3503,21.8964,27.7444,20.9041
ENHO,0.9443,7.8192,6.164,0.9334,0.3799,2.4476,1.8824,2.0369,3.2943,2.7612,2.3288,3.5456,1.8451,1.7563,2.0293,3.0903,2.1465,1.0517,8.6317,1.0755
ACSL3,62.7104,51.4685,35.6499,39.5426,73.3159,89.9279,48.1564,21.6136,55.0395,56.59,62.6376,56.1675,44.0936,17.562,168.3725,59.461,43.829,29.847,45.9903,57.1394
CD99P1,2.5539,2.6053,3.4446,2.2113,2.4633,3.3976,1.9461,1.7775,1.7914,3.2392,3.0459,3.3165,1.7041,1.7561,2.3858,2.1402,1.2805,2.1656,2.5143,2.8781
CSNK2A2,21.331,15.3276,13.8589,7.5903,8.3455,14.5528,19.068,19.6545,17.346,15.1056,13.1224,14.1266,17.7535,17.5603,11.8461,15.4535,13.7604,15.8048,11.365,15.8891
IFT46,21.1877,20.8427,25.281,19.7115,16.1783,17.7892,18.6965,18.9976,19.0353,17.9358,18.2576,20.7684,15.7371,17.5601,19.418,23.8426,18.2118,17.7085,28.6726,21.0943
ILF3-AS1,21.5932,23.3904,19.9482,11.2166,11.7311,13.8843,14.7846,27.1576,17.2744,21.6847,21.473,18.4255,26.3262,17.5583,17.0482,21.5898,28.1408,23.9818,24.788,21.8578
TTLL11,1.5265,1.7173,1.1487,1.0533,1.2882,2.389,1.3824,1.2974,1.3096,1.6168,1.5399,1.7278,1.3203,1.7558,1.3639,1.9808,1.5997,1.827,0.832,1.4687
EIF3K,152.5424,156.199,180.6424,125.0789,160.4184,134.3545,168.2499,240.9876,149.1788,134.793,181.7722,143.3959,172.344,175.5801,147.2529,176.658,166.5042,179.0401,245.6945,187.4554
SNX1,22.7461,16.997,17.2798,14.2965,13.779,21.0386,14.6246,14.2951,18.6004,18.749,17.8412,18.7417,19.0461,17.5578,15.7693,16.8115,13.9164,14.6105,13.9539,15.7537
EIF4G2,229.3715,174.5172,228.0678,196.8826,229.8063,244.2056,161.7975,158.5569,190.969,182.0605,199.4024,210.1408,161.8351,175.5689,157.7449,173.5761,173.5999,202.1348,148.4315,178.2165
RUVBL1,19.2295,11.5779,11.3231,21.3418,10.4126,8.2482,11.7052,9.5914,15.7837,7.7776,12.0593,10.7736,15.6148,17.5547,14.4264,11.0976,8.0774,11.4121,14.9608,14.1134
LMBRD2,2.2388,1.9261,2.97,2.5715,2.0825,4.947,4.6836,1.2721,2.4199,1.7648,1.938,2.3687,1.5018,1.7552,2.9556,2.5043,1.7329,2.3693,1.6801,2.4209
HLA-J,0.3614,1.1679,1.6328,0.3375,0.5874,0.6725,0.2781,2.5812,0.7463,1.5827,0.2791,0.6462,1.142,1.755,0.2855,1.6977,3.3343,1.7294,0.8143,1.167
BTBD6,21.2144,24.9079,15.5732,19.8724,17.1613,15.3036,17.4693,19.2684,19.0889,20.0815,16.6973,16.868,23.1907,17.5493,21.7461,16.9595,15.3596,15.8588,23.1458,19.6508
PRELP,28.8279,60.6447,54.7632,26.8195,35.0717,68.6583,69.0713,53.1636,25.6052,48.8617,41.9513,76.3144,60.6818,175.4787,17.7041,98.1247,56.2158,68.9541,38.2971,67.6015
COMTD1,11.3495,11.1018,5.0456,6.1251,16.5406,4.8845,9.4022,14.0996,13.4714,9.1117,8.9913,9.0466,15.4979,17.5465,12.0796,13.5322,7.6423,8.3631,15.9537,9.5207
HIGD2A,152.3961,137.5418,204.7199,275.9841,148.2926,140.1532,177.929,266.8188,202.0507,178.0202,195.7678,175.8709,150.1515,175.4409,182.0087,243.9311,277.1368,218.208,311.1082,188.0241
ASPSCR1,22.5635,19.1099,20.308,32.0715,14.3414,14.0511,19.0933,18.8321,21.4307,22.7873,15.8033,17.2355,20.017,17.5433,21.0019,19.4732,17.5405,17.049,25.3993,20.0344
MB21D1,0.4875,2.0372,3.4401,0.9522,2.6701,2.6849,1.2858,2.4162,0.9699,1.9739,0.9565,2.0928,1.1898,1.754,1.0327,1.4334,2.3672,2.8026,0.5084,1.4198
GNLY,2.9575,2.1473,2.5555,1.4914,4.3447,1.5445,1.4856,4.4947,2.7511,2.5132,0.8057,1.1098,1.8988,1.7539,0.0945,0.9385,12.54,7.4998,2.7231,2.6639
ZNF234,2.4395,1.6341,1.8398,1.3912,2.6654,2.2479,2.1278,1.499,2.005,1.8746,1.4683,2.0473,1.7813,1.7536,1.4343,1.6197,1.2612,1.356,0.4746,1.5583
SYNJ1,1.9984,1.6307,1.953,1.7833,1.5482,2.7528,1.6911,1.296,1.5602,1.7795,1.5105,1.8138,1.2888,1.7536,1.1756,1.1643,1.4932,1.8422,0.7633,1.8539
CNTFR,1.8141,11.4289,5.6487,6.127,0.2242,5.0595,2.2194,25.555,0.9664,2.1037,2.3528,8.6763,7.4657,17.5358,1.689,10.8655,1.9886,1.6477,9.4921,4.7211
DNAJA3,21.1235,19.1173,16.5392,18.8602,19.5086,16.824,16.7092,16.8273,18.2471,18.2464,17.3096,16.1915,19.5784,17.5353,19.4511,16.8099,13.0099,14.1815,16.6132,19.1623
OSM,0.9517,0.7483,0.8242,3.2999,1.2806,0.0406,0.6519,1.0436,0.2929,0.1615,0.8365,0.8918,0.7042,1.7533,0.1207,0.1488,0.6162,0.9982,0.4068,0.333
NDST1,19.4966,11.1365,9.0465,14.3565,11.2294,19.3464,13.072,6.7324,13.4574,13.0714,13.9051,18.0718,13.2709,17.5312,6.388,7.3191,6.1967,7.3147,5.4813,10.8757
MOB3B,1.1169,1.0354,1.2652,0.5505,1.9006,2.1246,1.4718,3.0754,1.0483,1.7634,1.0623,1.8607,1.678,1.7525,0.7026,2.1123,1.6532,2.4248,0.8659,1.7477
ITGB1,99.8564,93.6974,142.0195,80.9819,155.5148,159.6156,121.1829,95.8924,103.9537,107.1646,134.1246,146.1143,128.5669,175.2045,90.2076,176.0023,155.2775,174.3435,78.2675,119.766
ABHD14A,17.9536,30.9073,23.7892,26.2765,17.6734,16.3596,25.8709,28.3894,25.9348,25.6645,20.5088,21.8787,26.3547,17.5174,21.6378,23.6009,24.3238,19.8217,44.9833,18.8638
GLT8D1,21.0999,21.1614,20.2601,14.8582,30.8445,18.5851,22.2132,22.1276,19.6482,21.6584,20.4185,20.4889,20.4231,17.5151,19.253,18.9461,15.9851,21.4857,21.4778,20.8196
EP400NL,2.2974,1.8931,1.7969,1.9134,1.3965,1.4424,0.8696,1.549,1.6555,2.3673,1.0809,1.2455,0.8414,1.7513,1.0748,1.6267,1.3027,0.8938,0.9626,1.303
FAM98C,17.7421,19.1527,13.7007,15.1223,15.8158,11.86,19.7273,23.5168,19.3278,19.3866,15.525,14.8799,18.1697,17.513,18.3451,18.5761,15.8437,16.0416,23.3883,20.6029
SSR4,250.6485,280.1449,161.968,70.5129,189.8766,149.9235,117.089,169.1471,294.1056,208.4564,222.3729,212.6368,403.5798,175.1078,223.0001,229.2461,196.0528,195.8956,427.8333,232.3361
EDARADD,1.4813,2.5934,2.7605,2.6707,7.6879,3.1108,1.9761,9.1114,4.829,3.5196,7.432,5.5421,1.5934,1.7506,0.4161,1.89,6.057,5.6969,3.8096,2.5353
PTP4A1,22.189,18.9626,29.2248,28.0974,22.1869,32.015,22.5564,23.0593,27.3626,26.7491,34.6375,38.2011,15.2248,17.5043,23.021,25.3903,20.9187,19.0696,11.5603,22.0047
ARHGEF2,5.1315,9.4894,13.3203,5.8104,9.6495,9.8123,8.1776,12.1714,6.3411,10.0848,8.7454,12.3053,11.024,17.5042,2.4694,7.182,14.1683,13.8523,6.0235,11.6398
NPRL2,22.8801,20.9685,19.3591,21.55,22.5248,15.7504,20.4169,17.2507,24.2429,17.1479,15.1879,16.2868,20.1362,17.5002,24.0465,16.9218,18.6881,22.3605,26.0797,25.5853
SLC38A2,27.2948,14.1653,16.8314,18.9052,36.4658,31.7391,22.5477,15.3967,19.0449,22.8045,15.9704,15.0646,22.208,17.4988,27.7874,28.4355,16.9778,18.4491,11.7562,22.9791
EPS8L2,23.4498,37.3268,26.8106,37.7403,22.133,22.0271,18.5192,32.7736,19.3954,28.7774,18.6011,22.8552,27.4162,17.4982,23.9423,22.3493,19.308,22.2834,29.6344,25.3274
GLOD4,24.4597,24.0005,32.1883,20.5479,27.9634,25.3993,23.1807,21.7744,21.2263,31.5898,36.7181,27.8584,25.6492,17.4962,32.3364,28.8167,33.0863,28.5444,31.7451,25.2634
PDIA5,49.3969,50.5757,39.1511,61.5126,34.634,46.05,24.3047,24.2562,83.8447,50.4924,53.7184,37.3653,30.9524,17.496,57.2023,38.295,32.83,29.1566,43.0444,56.976
TMEM92,0.3158,0.0838,0.2335,0.0833,0.0351,0.1364,0.0431,1.6996,0.0757,0.3255,0.1873,0.1348,1.3811,1.7495,0.0135,0.1571,0.575,0.4132,0.1892,0.0828
ZFAND2B,14.5683,20.8519,14.7888,11.8305,15.7393,13.9673,9.5861,20.2095,14.0644,15.1343,15.6969,14.6746,22.242,17.4941,14.8918,17.2478,16.0895,14.2295,19.9952,14.5562
ZBTB49,2.1961,2.2311,1.9312,1.316,1.444,1.7691,1.5723,2.1299,1.0315,2.0319,2.5527,1.4289,1.9292,1.7491,1.2129,1.4969,1.3907,1.6934,1.4751,1.9311
RPS15,2715.6408,1732.1653,1905.5832,3669.8195,2651.7468,1466.8238,2584.2819,2985.9263,3172.6652,1960.3027,2792.2819,2096.8912,2032.4184,1749.0172,2786.447,2120.8017,2557.2309,2637.6122,3533.4031,2194.1967
EYA2,15.2148,18.2086,17.4265,14.5623,11.9859,15.09,18.2006,22.1443,22.6387,16.7305,14.3904,15.8847,9.5848,17.4888,5.8365,13.3243,16.032,12.5535,12.1415,17.3847
ULK1,23.6081,20.647,14.3973,14.1712,10.0511,17.6005,11.8004,11.105,13.0424,17.7389,12.1045,17.3593,16.6859,17.4881,9.9561,12.8945,9.5794,9.485,9.0227,15.9217
ARHGEF38,5.6073,1.6175,4.5218,6.9894,6.2866,1.7498,3.4093,1.4237,8.5502,3.4421,5.0762,1.4196,3.1557,1.7482,1.8499,0.7247,1.6,1.9583,0.8586,2.0463
LOC389765,4.0958,3.2923,2.5883,3.0363,2.5753,2.9471,2.5931,2.0327,3.223,4.2773,2.0338,2.693,2.2143,1.7478,2.2803,2.7258,1.9467,1.8267,1.7238,2.4303
RBP4,1.5636,16.4511,4.4575,6.0368,0.0519,10.1217,7.5994,28.7464,1.7902,2.9782,1.4271,26.5255,7.8731,17.4741,2.6167,20.9457,3.0826,6.268,35.5468,0.8818
FOXP3,1.5941,1.3857,1.8583,1.2865,2.7715,0.7915,0.6,0.4521,1.915,1.7088,0.8445,1.1561,1.6384,1.7473,0.5803,0.7046,2.6516,2.272,1.4557,1.8462
CD177,4.0503,168.8299,120.9688,2.4226,0.3926,23.1867,0.3718,59.4299,19.2218,40.8168,38.5339,129.7876,8.4679,1.7471,2.7193,43.7467,54.6299,13.0092,104.3077,24.9306
ZNF184,3.1684,2.4785,3.2252,2.6465,5.0586,3.6255,3.6184,2.1856,2.3966,2.6817,2.7054,3.7275,2.457,1.7469,4.0859,2.4717,2.4071,3.3592,1.5687,3.3032
TUBB4B,270.1124,327.6111,222.0066,421.9305,270.1963,195.7055,195.9069,228.1722,284.8812,247.8898,266.5521,192.4269,272.7094,174.6243,357.6532,228.8101,191.9044,188.8797,253.7735,184.1733
SPCS3,30.27,23.2186,26.5152,25.2195,27.3837,31.9356,22.6825,23.0367,20.0259,31.7545,36.0604,28.1564,31.6712,17.4624,40.8157,27.7109,26.0343,29.6808,18.5639,28.8261
CD97,6.6416,13.1843,9.2828,4.6416,11.0873,7.3917,11.3439,16.6496,5.1361,7.9205,6.3085,6.051,16.4947,17.4616,2.2287,6.1559,11.6595,13.7892,11.6704,20.8909
GGPS1,28.6519,19.5897,23.5731,28.211,38.1281,23.1496,29.6375,21.0169,39.5616,29.6165,28.6746,26.0706,26.9984,17.4588,38.6097,27.9089,28.981,29.0049,26.8334,23.0567
VCPIP1,2.3019,1.7651,1.8115,1.866,3.755,2.917,3.7111,1.0675,2.2741,1.9195,1.6719,1.9622,1.5994,1.7455,1.9863,1.7011,1.86,2.1504,1.5425,2.0918
DDO,0.0887,0.3923,0.5462,0.388,0.902,0.9744,0.3458,1.4552,0.401,0.5349,0.5551,1.082,0.9309,1.7455,0.7918,1.7656,1.6861,1.3483,1.5297,1.3699
NFIA,12.3993,15.3383,18.8609,12.2269,11.8453,18.5375,19.39,19.8884,18.737,21.3531,20.0237,28.1576,23.4973,17.4504,11.6798,27.4857,23.7592,25.447,21.285,18.8614
NAGLU,21.2779,35.2372,18.3675,11.9661,11.8802,20.5802,20.546,19.0327,13.0796,21.1414,18.6029,19.3458,25.7347,17.4501,16.2034,16.51,15.5429,13.5842,28.3544,26.7969
YWHAZ,171.3391,140.0233,192.2576,373.9205,223.4808,159.5787,204.5266,149.9679,277.5012,177.6717,200.1408,165.8751,166.2785,174.4264,154.5747,172.4979,184.2847,212.8708,129.1768,146.9672
PDCD6IP,32.0585,23.7525,28.71,27.7677,29.5236,31.0012,28.4605,18.2105,27.7172,28.1921,26.5737,24.9798,20.2612,17.4391,27.4268,18.1455,22.2322,21.2738,18.5788,26.7848
SURF2,15.2736,17.6975,16.6687,26.2357,11.6042,14.4097,15.4782,24.1135,17.7385,16.0659,23.6523,16.1201,17.2541,17.4377,16.2576,18.5741,17.8918,16.857,21.8485,13.5453
TGFB1I1,18.1451,83.747,102.8419,31.2945,36.4133,101.2177,50.2181,55.5948,36.2366,92.7337,86.1959,109.6228,94.9233,174.3221,29.1848,172.6167,131.7836,81.1348,80.3579,92.119
MRPL17,28.031,19.0869,16.4183,31.8004,17.2288,10.5451,12.9339,17.7614,25.6668,19.2249,29.2255,15.0583,30.1554,17.4318,28.1232,16.2578,24.7182,26.5618,21.1075,20.3114
JOSD1,16.731,13.6841,16.0366,18.7246,16.2967,14.9078,13.7353,18.4685,12.4256,13.9511,15.2056,14.9576,13.3116,17.4317,9.2259,10.8801,10.0838,12.5737,8.9945,13.581
RAB3GAP1,9.5731,16.6234,21.6976,19.4213,17.5105,19.7107,25.823,10.7144,13.8133,17.8605,15.5505,18.304,13.2552,17.4314,16.5131,17.0408,15.8184,14.7655,11.6191,16.5761
CD2BP2,13.4902,15.9955,16.827,11.0619,12.4448,13.3076,10.6555,16.2918,12.2756,13.2241,14.1206,13.6884,14.0735,17.431,11.3271,15.2254,12.9988,14.7674,14.7652,13.1351
JUN,62.1057,159.1469,204.8479,157.9909,126.9552,107.6828,97.2414,522.1046,91.1533,86.8819,141.2659,159.4467,108.5061,174.3055,128.9063,200.9621,65.1873,71.5095,66.3034,168.2399
PAFAH1B3,49.2332,18.8275,13.3001,27.0787,21.2495,12.0722,22.2464,17.3011,37.4004,19.748,21.7974,15.1562,22.2435,17.4305,29.8233,16.2465,23.0804,25.2899,24.7706,23.8601
APOM,1.0007,1.7702,3.3126,0.587,2.195,2.2095,0.708,3.6411,1.8391,1.992,2.055,4.0352,1.5585,1.7427,1.6179,3.2444,3.5368,2.0752,2.2207,3.7053
HMGCS2,15.2847,56.9609,32.8712,3.9502,21.8404,57.4095,39.7239,20.0834,10.6941,64.1152,43.9451,64.3895,105.2662,17.4256,292.5939,66.9861,35.8377,16.2728,13.2916,42.3198
HSD17B1,2.8623,2.8427,1.4861,1.8566,2.5749,1.4601,1.8482,1.4548,3.9997,1.822,1.6048,1.418,2.7857,1.7424,2.4917,1.9533,0.9678,0.7461,4.2055,1.8148
CNP,22.3939,29.5146,26.0556,24.0033,15.7711,20.8551,18.1006,13.9481,19.722,21.6895,28.4559,23.9193,23.6102,17.4188,25.5671,21.2424,21.1816,15.9789,20.3737,18.9175
SPPL3,19.1324,17.1257,20.6581,19.1396,19.3212,18.4811,20.6908,21.5788,20.8972,21.0926,18.39,23.2938,17.5416,17.4187,17.4821,17.6515,18.7496,18.3115,18.4534,19.9461
TANC2,3.051,2.0421,2.7586,1.9718,6.1356,3.1608,3.1611,1.6872,2.2066,2.7692,2.4092,2.7758,3.8347,1.7415,3.6082,2.1261,2.3876,2.2009,1.3109,3.2277
OSR1,3.5854,8.0906,7.488,3.9069,1.9171,7.4463,10.5257,44.9704,5.4543,10.491,4.8245,17.3462,4.2656,17.4119,2.3311,6.2694,13.7169,15.1069,7.7522,5.5361
NTHL1,12.6578,10.0849,7.6188,5.2805,7.0044,5.9747,5.1482,16.0087,5.5059,6.3238,9.9556,8.8847,13.2103,17.4097,6.518,10.7072,8.7154,10.3139,10.9795,15.1427
MARCKS,17.5573,27.9167,28.5987,29.0799,38.2586,32.5725,44.665,27.1767,40.0146,28.3642,29.8639,31.6351,20.5672,17.4082,21.0107,18.3224,40.4373,37.1541,29.3297,20.0071
RPL18,2100.8729,1700.7241,1647.3875,2459.9723,1914.2485,1248.3593,1921.8724,2393.9286,2153.6673,1664.9102,1792.9282,1656.1985,1892.2144,1740.4185,2110.3412,1774.4587,1999.9247,1913.0585,3003.1792,1864.3944
PQLC3,23.6211,27.4416,25.361,14.3059,30.2466,27.4335,25.3213,25.0511,21.3356,24.0796,17.2885,20.3982,20.0565,17.4001,27.7176,30.7682,27.473,33.986,37.3181,22.0694
RPP25L,25.2947,23.2199,18.0368,19.2447,11.5902,16.3686,20.8283,23.3016,20.1187,15.7565,21.7373,17.672,25.6088,17.3986,25.5461,23.6439,17.1599,25.9193,36.6818,19.9896
AKIRIN2-AS1,1.2975,1.7638,2.4164,4.7946,1.924,2.7401,2.9503,1.0993,1.9122,2.618,1.6885,2.6671,1.5097,1.7396,1.6658,1.2173,0.8401,1.3195,0.7678,1.4878
SNX6,19.6434,15.3307,25.9476,15.9218,27.6512,21.6158,24.8973,22.3754,22.1164,21.2004,22.2943,19.9151,16.4518,17.3885,22.0432,21.3138,24.3548,31.3865,19.2523,20.4072
RUFY1,20.067,23.0452,23.3262,22.5111,15.8607,18.4205,18.4488,22.6896,22.7849,22.4217,22.332,24.0029,18.1531,17.3884,20.3036,22.8146,25.8784,25.173,20.5986,19.0911
CD93,3.5853,4.6667,7.1099,4.2214,11.9841,10.2921,8.0573,8.6292,4.3961,5.5977,5.0997,5.1054,7.7709,17.3852,1.885,3.478,5.1118,8.0624,3.5344,9.9508
SLC4A11,0.504,6.6389,1.9821,0.2199,0.568,2.0784,0.1467,2.6285,0.7152,2.2428,1.3063,3.0794,1.4031,1.7385,0.7477,1.8057,0.9529,2.0528,4.5153,2.1088
GPR20,0.3593,0.8771,0.6802,0.1214,0.7672,0.4967,0.4314,0.5029,0.4685,1.298,0.4329,0.7636,0.8475,1.7385,0.2214,0.5201,0.1535,0.2343,0.1148,0.4827
SLC35F1,0.8464,1.5012,1.2814,0.5687,0.8255,1.091,0.774,0.6619,2.0397,2.066,1.5738,1.1551,0.6781,1.7384,2.4367,1.0975,1.1825,0.7302,1.149,1.0308
PDDC1,29.8912,21.8459,14.8971,19.8127,15.2858,18.8431,14.5409,17.0285,19.1713,18.8246,17.328,21.5728,20.3941,17.3797,13.5156,15.3577,10.5279,11.8282,14.5639,15.2676
LAMA5,12.2085,18.7877,13.5114,7.005,9.0483,17.6912,7.8739,15.1116,8.1013,16.2124,11.5001,15.558,11.0822,17.3795,7.5805,10.43,11.6966,10.7266,5.7339,14.0318
ITGA8,4.1686,6.3435,11.2748,4.3088,3.7598,9.7222,10.75,6.1866,1.6659,10.8679,2.944,7.9801,10.4285,17.3688,9.2628,15.0311,6.0238,12.112,1.333,7.1246
SLC23A1,8.9856,5.3419,13.4633,8.4146,0.38,6.71,9.1474,2.9909,9.9794,8.2948,6.8017,5.8002,6.3916,1.7368,16.1248,6.3751,2.332,2.8765,15.0663,5.6895
LACTB2,14.5933,5.2154,5.7723,10.5108,9.8764,6.0597,12.3348,5.1886,11.9995,5.5247,6.5433,4.642,4.7022,17.3678,8.3755,5.6677,8.927,9.4281,8.1711,8.2964
INTS10,21.8137,30.6232,22.1344,11.9722,29.2238,30.2419,16.7178,30.534,24.8385,22.3895,20.548,24.8725,43.334,17.3667,37.2302,25.6988,18.2289,21.3082,36.9357,33.7335
ZNF385B,2.5996,2.7205,1.9902,11.6141,15.6474,7.0006,12.3339,7.7501,29.3082,5.214,8.6027,5.1837,1.0614,17.3639,0.736,4.2371,6.1673,3.258,2.8946,4.5751
BCMO1,0.4579,0.3653,0.5615,0.0853,0.3695,0.4111,0.196,0.8618,0.8006,0.2997,0.4425,0.3322,0.3732,1.7361,0.0538,0.2437,0.6889,0.3313,0.4064,0.2167
C1orf74,2.2068,1.8217,2.0685,1.285,3.2724,1.8834,1.8612,1.4158,1.167,1.7986,2.0018,2.487,1.5126,1.7359,1.6942,1.0406,2.2212,1.1591,3.2171,1.5581
CRBN,14.8125,12.7869,20.9335,15.0586,21.9682,20.274,26.4536,15.5503,19.8968,21.5574,18.3982,19.7436,16.5589,17.3588,18.0362,19.1264,26.5212,28.5275,19.5303,18.3964
PDIA3,270.8199,314.7874,285.1546,289.4809,203.7467,296.0547,264.6866,216.6534,510.0062,348.0887,420.4849,280.8178,331.5118,173.5831,371.7528,279.0403,259.2339,255.3812,286.6328,318.8497
