Gene,PC_1 prostate tumor,PC_1 matched normal tissue,PC_2 prostate tumor,PC_2 matched normal tissue,PC_3 prostate tumor,PC_3 matched normal tissue,PC_4 prostate tumor,PC_4 matched normal tissue,PC_5 prostate tumor,PC_5 matched normal tissue,PC_6 prostate tumor,PC_6 matched normal tissue,PC_7 prostate tumor,PC_7 matched normal tissue,PC_8 prostate tumor,PC_8 matched normal tissue,PC_9 matched normal tissue,PC_9 prostate tumor,PC_10 matched normal tissue,PC_10 prostate tumor
IFI30,67.6373,54.7776,84.6584,148.0529,256.6236,54.8794,377.1089,148.4838,116.1626,69.2052,70.9601,64.3688,115.9162,85.1079,27.1485,49.19,591.6016,430.8513,119.8128,112.4151
FADD,6.8191,7.005,9.2049,6.1372,10.1777,6.413,8.2592,9.6225,9.3648,7.9722,9.4217,9.0753,10.6198,8.5088,8.6535,7.2406,10.8196,12.0684,9.6045,7.2315
FBXO2,1.6687,5.3291,8.451,2.3671,0.8217,4.3581,1.0196,12.7992,2.7848,5.5644,3.1854,7.2029,4.716,8.503,1.2211,8.1942,7.2498,7.9792,6.9762,5.4948
SP110,8.1706,9.1083,7.6002,8.0539,10.2088,6.8833,7.8481,10.1055,8.6632,8.6862,9.1511,8.0172,9.9791,8.5016,6.2171,8.2129,16.5048,12.6476,6.455,10.1589
ARL14EP,12.6801,8.5924,13.3694,11.9862,15.496,12.3272,12.2219,9.4167,9.2198,10.5717,12.4333,12.5128,9.7865,8.5012,11.246,9.3058,8.5315,11.6152,10.2089,8.894
RASA3,3.367,5.6291,7.8901,5.1977,6.1638,5.9167,7.2657,5.9665,4.6904,5.7112,4.3505,5.9395,5.4378,8.5006,2.0088,4.8683,6.813,7.9172,4.9425,8.8591
SPG11,19.6823,13.6961,12.1374,10.8887,9.4046,14.7911,12.2885,7.9164,10.0529,10.4878,12.0738,10.5202,8.4999,8.4984,10.3541,6.667,7.8935,7.6635,8.3213,11.0187
APOO,15.3183,12.9661,14.861,9.9983,12.578,9.7041,9.5295,11.2928,16.7303,13.5161,12.3721,11.5199,21.9581,8.4983,23.736,15.3659,14.6141,16.2352,28.4656,12.6423
NUDC,63.2569,76.2202,73.5751,68.1151,38.2878,50.0879,51.9032,74.9141,68.1593,70.3972,61.2186,71.1108,99.0289,84.974,68.7276,88.3502,66.8563,69.6033,83.3152,61.2106
RGS19,2.9226,5.8405,6.606,5.9676,11.3609,7.4201,9.0407,11.0567,7.4551,7.0505,6.9074,7.9521,7.0494,8.4963,3.0561,5.912,22.4533,18.371,9.1896,11.4593
NYNRIN,1.1879,5.3966,6.4913,1.2571,1.9895,6.3896,2.0008,10.7397,1.5169,4.9771,2.4617,7.9342,3.8447,8.4946,0.9354,4.0006,4.5307,4.0269,2.6521,3.8605
ADHFE1,12.8286,21.2772,18.6377,36.0015,10.9503,17.3016,26.0396,14.8563,14.7298,30.6913,10.0056,15.7438,15.2281,8.4903,23.0447,18.2226,18.9911,17.7769,13.738,16.22
TALDO1,143.3855,119.6628,98.4277,134.5828,95.8248,88.3637,114.9123,106.6486,130.5868,82.9282,104.362,95.6298,112.1917,84.8978,127.286,108.3371,103.3608,108.536,157.686,112.1687
ZNF589,14.4337,12.4747,12.133,10.853,13.6741,16.4333,9.579,6.0166,19.1239,15.4054,10.7496,13.2832,18.224,8.4887,13.6425,19.2492,8.6783,10.894,14.0733,12.328
ZFYVE9,11.457,7.7655,8.6813,6.8195,11.8403,10.0292,11.13,6.6098,7.8461,7.0226,8.883,8.9468,8.6161,8.4878,9.6651,8.1531,4.8325,7.1554,5.488,7.6674
USP3,16.7257,9.3763,9.6638,5.9721,10.3423,9.7576,9.3017,6.6792,13.092,11.1878,12.2222,10.6797,11.1346,8.4839,11.7348,7.9221,8.2131,8.2529,7.1737,8.6789
LDHB,13.4561,76.9367,82.9465,11.676,57.6077,61.0246,34.4985,99.0201,22.4797,45.7622,63.5794,72.9974,65.2843,84.8319,19.2728,90.6943,65.1779,92.7881,135.0814,68.4426
FAM21C,10.3197,8.1926,10.6318,7.2638,12.3431,11.6961,13.5283,9.2835,10.1574,9.9357,9.7457,10.6548,8.2422,8.4828,10.3554,8.611,10.2519,10.6003,8.0794,9.3206
CXorf36,2.5601,3.4089,5.4092,1.9881,5.7874,8.3225,3.687,6.5325,2.7838,4.4799,4.2498,4.321,5.3261,8.481,1.1195,2.9709,4.027,9.6071,3.2646,7.2822
CEP95,10.1401,9.9667,12.8169,19.9977,15.2592,11.931,14.0156,13.7656,13.6304,14.879,11.9664,14.7117,9.5193,8.4802,8.3594,10.9811,11.3858,11.1463,7.0909,12.27
DESI2,7.6296,5.837,8.4569,4.9398,9.643,10.8146,6.3785,4.9675,7.0326,7.5106,8.8339,10.1452,8.179,8.4801,7.5039,7.7524,7.0505,9.5579,6.9532,7.3657
SERTAD2,5.3669,6.9108,7.6674,8.5121,8.0403,6.6858,6.1486,7.1407,4.5519,7.488,5.604,7.7949,7.0608,8.4775,4.472,5.2805,5.6263,6.1696,4.6166,6.5564
CYFIP2,7.6997,3.7897,5.5425,7.1119,6.9232,4.7887,7.3328,4.3981,6.9672,4.9553,9.4798,5.4826,6.7457,8.4775,3.1415,4.4384,6.159,6.0242,2.9479,5.9972
SETDB1,8.5296,8.5875,7.9137,7.9998,9.36,8.5633,7.4485,9.0471,8.8695,8.591,8.3838,9.207,7.6247,8.4771,5.9909,6.7033,9.0751,8.5728,7.4878,9.3718
CES1,18.2771,49.723,20.5926,13.5664,6.7355,44.7698,17.8069,47.3247,9.1519,19.0794,11.1239,19.8483,41.8068,84.7653,12.8803,73.9862,11.6692,21.9492,29.1189,37.9561
ENPP5,25.8633,34.7352,21.6878,21.9809,14.5563,20.6364,28.2078,25.3852,27.446,22.7733,21.7794,16.913,9.3193,8.4731,20.7956,13.5227,19.5676,13.472,26.7123,15.6008
PPIL4,6.6298,9.1128,15.1561,14.2707,15.81,13.7347,10.3377,14.1032,14.9205,14.4759,11.73,11.9754,9.7884,8.4721,10.0157,13.5102,12.7748,14.4996,9.4832,11.0738
CX3CL1,14.9285,35.255,27.6769,13.5371,17.6082,32.1693,14.2194,57.2086,12.0579,26.8424,18.0227,32.6085,42.3983,84.7161,4.8527,26.0568,36.1051,37.1351,18.6668,40.9284
FAM84A,80.1603,25.2511,21.9914,18.0654,17.2186,10.1959,15.8425,7.6597,44.8853,43.6939,17.6185,14.7868,19.8476,8.4708,36.5861,9.9188,10.7414,13.7883,7.4254,11.4918
FRMD8,5.8189,6.8862,5.5621,5.302,4.9702,6.1384,5.9702,9.2766,4.5751,5.6264,4.8115,6.0783,5.5067,8.4673,3.332,4.8382,5.0468,6.0068,4.7002,7.1211
SLC44A4,171.2868,142.5196,163.4614,118.8586,152.6622,175.2537,92.2951,122.1038,145.8532,166.4792,155.7971,86.7736,142.9887,84.6631,208.8215,92.9991,125.6505,96.6279,133.4584,184.5649
TNXB,2.3944,1.3035,2.4501,1.3461,1.3621,1.8565,4.5123,2.5648,0.729,1.3729,1.2246,0.8957,1.5651,8.4656,0.6564,1.4996,0.4836,1.603,0.3233,1.3959
KLF3,18.3422,10.4774,17.792,18.2625,18.2918,17.2651,18.3895,20.4187,14.5849,19.0273,18.4342,17.9755,8.8877,8.4627,15.4958,9.4088,15.277,14.6551,6.8183,15.2281
NAPSB,3.0632,5.9049,4.6732,1.6751,12.1944,5.7815,8.6158,4.0446,4.2776,5.5513,4.6164,4.6052,6.5446,8.4608,1.9496,3.5389,5.172,11.754,6.8322,8.9854
TRAPPC11,15.7254,11.5536,13.9779,12.7853,12.2306,16.4273,11.737,7.4556,13.1853,11.0363,11.878,14.2799,7.8797,8.4602,12.0667,8.3727,7.5102,9.2217,8.5006,12.103
TAF9B,12.6715,10.2056,16.8571,6.6637,15.9195,16.5333,14.2709,8.7256,10.7456,11.2871,13.7729,14.3788,10.09,8.4592,12.2794,10.7763,12.354,13.4145,12.9497,12.518
CHMP4B,72.1113,72.4529,76.7379,67.6919,55.9221,71.9701,67.6793,82.9859,77.0899,68.6106,69.6919,77.0799,79.5925,84.5771,78.4053,88.8844,86.3785,76.1919,79.6696,66.113
TACO1,8.4042,10.677,9.0478,8.591,11.6421,7.6457,9.7916,11.2695,11.6317,8.3664,9.4183,9.9879,9.9179,8.4563,10.0782,9.7934,10.0659,10.3458,13.9309,11.3452
QSOX1,12.53,34.8522,27.6439,23.7947,13.2799,30.8341,20.5291,53.5497,9.5378,20.0037,16.0112,31.2527,28.366,84.5441,11.3935,40.0073,22.911,31.9316,28.8512,33.76
FAM46A,7.4049,7.2237,8.6538,9.2589,5.9266,9.8328,9.6372,11.4835,5.2333,9.3491,10.148,9.9928,7.2411,8.4508,5.7859,12.858,9.8385,9.417,8.471,6.8732
ZFYVE27,13.073,9.4292,7.7419,10.5358,8.9503,7.4677,6.9543,9.912,8.5838,10.4158,7.2531,6.7975,8.6744,8.4433,8.5964,6.5537,7.6836,8.2855,7.6467,8.9212
RASA4,5.6762,9.8607,11.3491,6.1089,4.4787,7.3442,12.1324,22.1722,4.6801,6.3872,7.9728,11.7258,4.1616,8.4431,1.7402,5.816,5.9656,5.1598,3.5675,5.9904
PCYT1A,9.7036,10.3893,9.7392,8.8902,8.5345,14.0743,9.1477,5.9328,8.1741,7.7257,8.2466,10.312,7.2532,8.4407,7.7786,4.0401,5.4689,6.7983,5.6839,8.9886
GRB10,8.9716,9.8312,8.3814,4.5453,8.5483,11.9899,8.5884,8.123,6.7139,9.9404,6.1679,10.893,9.8643,8.4372,8.0407,8.8188,6.0516,7.0591,9.2281,10.1799
RTCA,16.0912,15.0064,12.5071,14.1724,16.8481,14.0822,16.039,10.9503,12.5829,15.6565,12.9585,14.159,14.3535,8.4364,21.9078,17.3192,15.6605,13.9435,14.4827,13.5895
