source,target
ADH6,MAOB
ADH6,COMT
ADH6,LRTOMT
ADH6,LRAT
ADH6,AWAT2
ADH6,DGAT1
ADH6,PNPLA4
ADH6,ALDH1A1
ADH6,ALDH1A3
ADH6,ALDH1A2
ADH6,AOX1
ADH6,CYP27C1
ADH6,ALDH3A1
ADH6,ALDH3B1
ADH6,ALDH3B2
ADH7,ALDH2
ADH7,ALDH1B1
ADH7,ALDH9A1
ADH7,ALDH3A2
ADH7,ALDH7A1
ADH7,MAOA
ADH7,MAOB
ADH7,COMT
ADH7,LRTOMT
ADH7,LRAT
ADH7,AWAT2
ADH7,DGAT1
ADH7,PNPLA4
ADH7,ALDH1A1
ADH7,ALDH1A3
ADH7,ALDH1A2
ADH7,AOX1
ADH7,CYP27C1
ADH7,ALDH3A1
ADH7,ALDH3B1
ADH7,ALDH3B2
PDHA1,DLAT
PDHA1,DLD
PDHA1,PKLR
PDHA1,PKM
PDHA1,LDHAL6A
PDHA1,LDHA
PDHA1,LDHB
PDHA1,LDHC
PDHA1,LDHAL6B
PDHA1,PC
PDHA1,PDHA1
PDHA1,PDHA2
PDHA1,PDHB
PDHA2,DLAT
PDHA2,DLD
PDHA2,PKLR
PDHA2,PKM
PDHA2,LDHAL6A
PDHA2,LDHA
PDHA2,LDHB
PDHA2,LDHC
PDHA2,LDHAL6B
PDHA2,PC
PDHA2,PDHA1
PDHA2,PDHA2
PDHA2,PDHB
PDHB,DLAT
PDHB,DLD
PDHB,PKLR
PDHB,PKM
PDHB,LDHAL6A
PDHB,LDHA
PDHB,LDHB
PDHB,LDHC
PDHB,LDHAL6B
PDHB,PC
PDHB,PDHA1
PDHB,PDHA2
PDHB,PDHB
DLAT,DLD
DLAT,CS
DLAT,ACLY
DLAT,PDHA1
DLAT,PDHA2
DLAT,PDHB
LDHAL6A,PKLR
LDHAL6A,PKM
LDHAL6A,PDHA1
LDHAL6A,PDHA2
LDHAL6A,PDHB
LDHA,PKLR
LDHA,PKM
LDHA,PDHA1
LDHA,PDHA2
LDHA,PDHB
LDHB,PKLR
LDHB,PKM
LDHB,PDHA1
LDHB,PDHA2
LDHB,PDHB
LDHC,PKLR
LDHC,PKM
LDHC,PDHA1
LDHC,PDHA2
LDHC,PDHB
LDHAL6B,PKLR
LDHAL6B,PKM
LDHAL6B,PDHA1
LDHAL6B,PDHA2
LDHAL6B,PDHB
PKLR,ENO1
PKLR,ENO2
PKLR,ENO3
PKLR,ENO4
PKLR,LDHAL6A
PKLR,LDHA
PKLR,LDHB
PKLR,LDHC
PKLR,LDHAL6B
PKLR,LDHD
PKLR,PDHA1
PKLR,PDHA2
PKLR,PDHB
PKLR,PC
PKLR,ME2
PKLR,ME3
PKLR,ME1
PKM,ENO1
PKM,ENO2
PKM,ENO3
PKM,ENO4
PKM,LDHAL6A
PKM,LDHA
PKM,LDHB
PKM,LDHC
PKM,LDHAL6B
PKM,LDHD
PKM,PDHA1
PKM,PDHA2
PKM,PDHB
PKM,PC
PKM,ME2
PKM,ME3
PKM,ME1
ENO1,PGAM4
ENO1,PGAM1
ENO1,PGAM2
ENO1,BPGM
ENO2,PGAM4
ENO2,PGAM1
ENO2,PGAM2
ENO2,BPGM
ENO3,PGAM4
ENO3,PGAM1
ENO3,PGAM2
ENO3,BPGM
ENO4,PGAM4
ENO4,PGAM1
ENO4,PGAM2
ENO4,BPGM
PGAM4,PGK1
PGAM4,PGK2
PGAM4,MINPP1
PGAM1,PGK1
PGAM1,PGK2
PGAM1,MINPP1
PGAM2,PGK1
PGAM2,PGK2
PGAM2,MINPP1
BPGM,PGK1
BPGM,PGK2
BPGM,PGAM4
BPGM,PGAM1
BPGM,PGAM2
BPGM,BPGM
BPGM,MINPP1
GAPDH,PGK1
GAPDH,PGK2
GAPDH,BPGM
GAPDH,TRAF2
GAPDH,TRADD
GAPDH,RIPK1
GAPDH,BIRC2
GAPDH,BIRC3
GAPDHS,PGK1
GAPDHS,PGK2
GAPDHS,BPGM
TPI1,ALDOA
TPI1,ALDOB
TPI1,ALDOC
TPI1,GAPDH
TPI1,GAPDHS
TPI1,TKFC
PFKL,GPI
PFKL,TALDO1
PFKL,ALDOA
PFKL,ALDOB
PFKL,ALDOC
PFKM,GPI
PFKM,TALDO1
PFKM,ALDOA
PFKM,ALDOB
PFKM,ALDOC
PFKP,GPI
PFKP,TALDO1
PFKP,ALDOA
PFKP,ALDOB
PFKP,ALDOC
FBP1,GPI
FBP1,TALDO1
FBP2,GPI
FBP2,TALDO1
GPI,GCK
GPI,HK1
GPI,HK2
GPI,HK3
GPI,HKDC1
GPI,G6PC
GPI,G6PC2
GPI,G6PC3
GPI,PGM1
GPI,PGM2
GPI,G6PD
GPI,TALDO1
GPI,H6PD
GPI,MPI
PGM1,G6PC
PGM1,G6PC2
PGM1,G6PC3
PGM1,HK1
PGM1,HK2
PGM1,HK3
PGM1,HKDC1
PGM1,GCK
PGM1,GPI
PGM1,UGP2
PGM1,NUDT5
PGM1,NUDT9
PGM1,ADPRM
PGM1,AGL
PGM1,PYGB
PGM1,PYGL
PGM1,PYGM
PGM2,G6PC
PGM2,G6PC2
PGM2,G6PC3
PGM2,HK1
PGM2,HK2
PGM2,HK3
PGM2,HKDC1
PGM2,GCK
PGM2,GPI
PGM2,RPIA
PGM2,TKT
PGM2,TKTL1
PGM2,TKTL2
PGM2,RBKS
PGM2,DERA
PGM2,UGP2
PGM2,PRPS1L1
PGM2,PRPS1
PGM2,PRPS2
PGM2,NUDT5
PGM2,NUDT9
PGM2,ADPRM
PGM2,AGL
PGM2,PYGB
PGM2,PYGL
PGM2,PYGM
HK1,GALM
HK1,GPI
HK1,PFKFB1
HK1,PFKFB2
HK1,PFKFB3
HK1,PFKFB4
HK1,TIGAR
HK1,PFKL
HK1,PFKM
HK1,PFKP
HK1,FBP1
HK1,FBP2
HK1,MPI
HK1,PMM1
HK1,PMM2
HK1,LCT
HK1,GLB1
HK1,PGM1
HK1,PGM2
HK1,GNPDA1
HK1,GNPDA2
HK1,GFPT1
HK1,GFPT2
HK1,NANS
HK1,PKLR
HK1,PKM
HK1,BAX
HK2,GALM
