source,target
BMP4,ACVR1B
BMP6,ACVR1B
BMP7,ACVR1B
FOXL2,ACVR1B
CR1,ACVR1B
CRH,ACVR1B
MAPK14,ACVR1B
DOK1,ACVR1B
EDN1,ACVR1B
EGF,ACVR1B
FGF2,ACVR1B
GDF9,ACVR1B
GLI1,ACVR1B
GNRH1,ACVR1B
GPC1,ACVR1B
IFNG,ACVR1B
IL1B,ACVR1B
INHA,ACVR1B
INHBA,ACVR1B
ISL1,ACVR1B
LEP,ACVR1B
LTBP1,ACVR1B
LTK,ACVR1B
SMAD2,ACVR1B
SMAD3,ACVR1B
SMAD7,ACVR1B
NODAL,ACVR1B
PAEP,ACVR1B
PBX1,ACVR1B
PGF,ACVR1B
POMC,ACVR1B
MAPK1,ACVR1B
MAPK11,ACVR1B
BRD2,ACVR1B
SPTBN1,ACVR1B
MAP3K7,ACVR1B
TDGF1,ACVR1B
TFF1,ACVR1B
TGFB1,ACVR1B
TGFB2,ACVR1B
TGFB3,ACVR1B
TGFBR3,ACVR1B
TGIF1,ACVR1B
TNF,ACVR1B
UCN,ACVR1B
VEGFA,ACVR1B
FOXH1,ACVR1B
NOG,ACVR1B
ADIPOQ,ACVR1B
FSTL3,ACVR1B
FST,ACVR1B
FASTK,ACVR1B
FSTL1,ACVR1B
AKAP2,ACVR1B
DKK1,ACVR1B
IMPACT,ACVR1B
GOPC,ACVR1B
FSD2,ACVR1B
ACVR1C,ACVR1B
IRAK1BP1,ACVR1B
ARMC3,ACVR1B
ZGLP1,ACVR1B
ACTA1,ACVR2A
ACVR1,ACVR2A
ACVR1B,ACVR2A
TDGF1,ACVR2A
TGFB1,ACVR2A
GOPC,ACVR2A
ACVR1,ACVR2B
ACVR1B,ACVR2B
ACVR2A,ACVR2B
TGFB1,ACVR2B
GOPC,ACVR2B
ACVR1,ACVRL1
ACVR1B,ACVRL1
ACVR2A,ACVRL1
ACVR2B,ACVRL1
APOA1,ACVRL1
BMP4,ACVRL1
CAV1,ACVRL1
DES,ACVRL1
ENG,ACVRL1
FCN2,ACVRL1
GDF2,ACVRL1
GFAP,ACVRL1
ID1,ACVRL1
PPP1CA,ACVRL1
PPP1R10,ACVRL1
SP1,ACVRL1
TGFB1,ACVRL1
TGFB3,ACVRL1
TGFBR1,ACVRL1
MTRF1,ACVRL1
PEG10,ACVRL1
POTEM,ACVRL1
MTIF3,ACY1
ABO,ADA
ATIC,ADA
ENTPD1,ADA
CUX1,ADA
GIF,ADA
IL2,ADA
IL6,ADA
IL13,ADA
PNP,ADA
POMC,ADA
SELL,ADA
SP1,ADA
HEXIM1,ADA
IGKV2D-29,ADA
CRH,ADAM8
INS,ADAM8
TNF,ADAM8
ADAMTS4,ADAM8
ADAMTS5,ADAM8
AREG,ADAM10
CALM3,ADAM10
CTNNB1,ADAM10
HBEGF,ADAM10
EGF,ADAM10
EGFR,ADAM10
IK,ADAM10
IL1A,ADAM10
IL1B,ADAM10
NRD1,ADAM10
FURIN,ADAM10
PAX2,ADAM10
RARA,ADAM10
S100A7,ADAM10
ADAM17,ADAM10
TCF12,ADAM10
TFRC,ADAM10
TIMP1,ADAM10
TIMP2,ADAM10
TIMP3,ADAM10
TIMP4,ADAM10
VDR,ADAM10
ADAM9,ADAM10
PCSK7,ADAM10
ADAMTS4,ADAM10
TSPAN12,ADAM10
DNM3,ADAM10
DYT10,ADAM10
CXCL16,ADAM10
PPCS,ADAM10
ADARB2,ADAR
AKT1,ADAR
CCR7,ADAR
IFNA1,ADAR
ILF3,ADAR
ADA,ADARB1
ADAR,ADARB1
ADARB2,ADARB1
PIN1,ADARB1
WWP2,ADARB1
SERPINA3,ADARB2
ADARB1,ADARB2
CALM1,ADCY1
CALM2,ADCY1
RASD1,ADCY1
CALM2,ADCY2
DYT10,ADCY2
RASD1,ADCY2
ADA,ADCY3
ADCY1,ADCY3
ADCY2,ADCY3
ADCYAP1,ADCY3
ADM,ADCY3
ADORA1,ADCY3
ADORA2A,ADCY3
ADRA1D,ADCY3
ADRA1A,ADCY3
ADRB1,ADCY3
ADRB2,ADCY3
ADRB3,ADCY3
ALB,ADCY3
ALPP,ADCY3
ALPPL2,ADCY3
APLP1,ADCY3
APP,ADCY3
ARHGDIB,ADCY3
ATP5E,ADCY3
AVP,ADCY3
AVPR2,ADCY3
BRS3,ADCY3
CA2,ADCY3
CALCA,ADCY3
CALM1,ADCY3
CALM2,ADCY3
CALM3,ADCY3
CD40,ADCY3
CNR1,ADCY3
CNR2,ADCY3
CRH,ADCY3
CRYAB,ADCY3
CYP27A1,ADCY3
DBH,ADCY3
DRD1,ADCY3
DRD2,ADCY3
EGF,ADCY3
EPO,ADCY3
ESR1,ADCY3
ESR2,ADCY3
FGF1,ADCY3
FGFR3,ADCY3
FPR1,ADCY3
FSHR,ADCY3
GCG,ADCY3
GCGR,ADCY3
GHRH,ADCY3
GHRHR,ADCY3
GIP,ADCY3
GNAS,ADCY3
GNRH1,ADCY3
GPI,ADCY3
GRK4,ADCY3
HDLBP,ADCY3
HRAS,ADCY3
HSF4,ADCY3
HTR1F,ADCY3
HTR2B,ADCY3
IAPP,ADCY3
IFNA1,ADCY3
IFNG,ADCY3
IGF1,ADCY3
IGF2,ADCY3
IGHE,ADCY3
IGSF1,ADCY3
IL1A,ADCY3
IL1B,ADCY3
IL2,ADCY3
IL6,ADCY3
IL8,ADCY3
INS,ADCY3
KNG1,ADCY3
LAIR2,ADCY3
LBR,ADCY3
LDLR,ADCY3
LEP,ADCY3
LHB,ADCY3
LMNB1,ADCY3
LPA,ADCY3
MC1R,ADCY3
MEA1,ADCY3
MIF,ADCY3
MSX2,ADCY3
MTNR1B,ADCY3
MUC7,ADCY3
NEUROD1,ADCY3
NF1,ADCY3
NGF,ADCY3
NPPA,ADCY3
OPRM1,ADCY3
P2RX1,ADCY3
P2RY11,ADCY3
PLG,ADCY3
POMC,ADCY3
PRL,ADCY3
PTGDS,ADCY3
PTGER2,ADCY3
PTGER3,ADCY3
PTGER4,ADCY3
PTGIR,ADCY3
PTH,ADCY3
PTHLH,ADCY3
RBMS1,ADCY3
RGS2,ADCY3
BRD2,ADCY3
ROS1,ADCY3
RYR2,ADCY3
S100A1,ADCY3
S100A12,ADCY3
SCT,ADCY3
CCL8,ADCY3
SNCA,ADCY3
SST,ADCY3
SSTR2,ADCY3
STAT6,ADCY3
TGFA,ADCY3
TGFB1,ADCY3
TIMP2,ADCY3
TNF,ADCY3
TRH,ADCY3
TSHR,ADCY3
UROD,ADCY3
VIP,ADCY3
RGS5,ADCY3
MARCO,ADCY3
SUCLG1,ADCY3
HESX1,ADCY3
LPAR2,ADCY3
TCEAL1,ADCY3
KIAA0101,ADCY3
TUBB4A,ADCY3
RAPGEF3,ADCY3
CAPN10,ADCY3
NUDT6,ADCY3
AKAP2,ADCY3
RPIA,ADCY3
GTPBP4,ADCY3
DYT10,ADCY3
ABHD5,ADCY3
RXFP3,ADCY3
TUBA8,ADCY3
DYM,ADCY3
SAR1A,ADCY3
CYSLTR2,ADCY3
MCOLN1,ADCY3
NARFL,ADCY3
P2RY12,ADCY3
MAPKAP1,ADCY3
ITCH,ADCY3
PPP1R1B,ADCY3
ADO,ADCY3
RERG,ADCY3
MTG1,ADCY3
NLRP3,ADCY3
CADM4,ADCY3
RICTOR,ADCY3
HCAR2,ADCY3
RXFP4,ADCY3
CISD2,ADCY3
RAF1,ADCY5
SOS2,ADCY5
DYT10,ADCY5
RIC8A,ADCY5
ADCY5,ADCY6
RAF1,ADCY6
DYT10,ADCY6
ADCY1,ADCY8
ADCY2,ADCY8
ADCY3,ADCY8
CA2,ADCY8
CALM1,ADCY8
CALM2,ADCY8
CALM3,ADCY8
KRIT1,ADCY8
STIM1,ADCY8
AKAP5,ADCY8
ORAI1,ADCY8
ADRB2,ADCY9
GNAS,ADCY9
GRK4,ADCY9
DYT10,ADCY9
ADCY3,ADCYAP1
ADCYAP1R1,ADCYAP1
CRHR1,ADCYAP1
CRHR2,ADCYAP1
DPP4,ADCYAP1
GNRH1,ADCYAP1
KITLG,ADCYAP1
SCT,ADCYAP1
SST,ADCYAP1
VIP,ADCYAP1
VIPR1,ADCYAP1
VIPR2,ADCYAP1
TNFRSF6B,ADCYAP1
BAG3,ADCYAP1
C1QL1,ADCYAP1
DYT10,ADCYAP1
EHMT1,ADCYAP1
GPR151,ADCYAP1
MRGPRX1,ADCYAP1
ADCYAP1,ADCYAP1R1
CTSG,ADCYAP1R1
EEF1B2P2,ADCYAP1R1
F2R,ADCYAP1R1
FGG,ADCYAP1R1
NR4A1,ADCYAP1R1
ITGA2B,ADCYAP1R1
