source,target
BRCA1,KRT17
BRCA1,KRT18
BRCA1,KRT5
BRCA1,MAD2L1
BRCA1,MDC1
BRCA1,MDM2
BRCA1,MYC
BRCA1,RNASEL
BRCA1,S100A2
BRCA1,SIRT1
BRCA1,STAT1
BRCA1,STAT2
BRCA1,STAT3
BRCA1,TFF1
BRCA1,TP63
BRCA1,VEGFA
BRCA1,XPC
BRCA2,DMC1
BRCA2,PSMD3
BRCA2,PSMD6
BRCA2,RAD51
BRD7,BRD2
BRD7,BRD3
BRD7,E2F3
BRD7,E2F3
BRIP1,BARD1
BRIP1,MLH1
BRPF1,ING5
BRPF1,MEAF6
BTAF1,DR1
BTAF1,TBP
BTAF1,TBP
BTF3,ABL2
BTF3,ATM
BTF3,EPHB2
BTF3,HPSE2
BTF3,MADCAM1
BTF3,MRVI1
BTF3,NFKB1
BTF3,RRAS2
BTF3,SSPN
BTG2,CCND1
BTG2,HRAS
BTG2,KLK3
BTG2,SPHK1
CBFA2T3,TCF12
CBFA2T3,ZNF652
CBFB,GATA1
CBFB,RUNX1
CBFB,RUNX2
CBFB,RUNX3
CBX7,CCNE1
CBX7,CDH1
CBX8,CDKN1A
CDC5L,PLRG1
CDCA7L,MAOB
CDX1,DSC2
CDX1,IRF2BP2
CDX1,KRT20
CDX1,PCNA
CDX1,POSTN
CDX1,PPARG
CDX1,PTGS2
CDX1,TBP
CDX2,ABCB1
CDX2,ACAT2
CDX2,APC
CDX2,APC
CDX2,AXIN2
CDX2,AXIN2
CDX2,CDH17
CDX2,CDH17
CDX2,CDKN1A
CDX2,CFTR
CDX2,DSC2
CDX2,ELMO3
CDX2,FUT2
CDX2,GSK3B
CDX2,GSPT1
CDX2,GSTP1
CDX2,GUCY2C
CDX2,HEPH
CDX2,IGFBP3
CDX2,KLF4
CDX2,KLF4
CDX2,LCT
CDX2,MEP1A
CDX2,MUC17
CDX2,MUC2
CDX2,PTGS2
CDX2,REG4
CDX2,SLC15A1
CDX2,SLC9A2
CDX2,SP1
CDX2,TFF3
CDX2,UGT1A10
CDX2,UGT1A8
CDX2,UGT2B15
CDX2,UGT2B17
CDX2,VDR
CEBPA,AFP
CEBPA,ALB
CEBPA,BCL2
CEBPA,CCL2
CEBPA,CD163
CEBPA,CRMP1
CEBPA,CSF1
CEBPA,CSF2RA
CEBPA,CSF3R
CEBPA,CXCR2
CEBPA,CYP3A4
CEBPA,DEFA1
CEBPA,DEFA3
CEBPA,ELANE
CEBPA,ELANE
CEBPA,F9
CEBPA,FN1
CEBPA,GAPDH
CEBPA,HAMP
CEBPA,HK3
CEBPA,HOMER3
CEBPA,HSD17B11
CEBPA,HSPA4
CEBPA,ICAM1
CEBPA,ID1
CEBPA,IGF1
CEBPA,IGF2
CEBPA,IL10
CEBPA,IL3
CEBPA,IL5
CEBPA,IL6
CEBPA,INSR
CEBPA,ITGAX
CEBPA,LEP
CEBPA,MAD1L1
CEBPA,MSR1
CEBPA,MYC
CEBPA,PCK1
CEBPA,PCK2
CEBPA,PRL
CEBPA,S100A9
CEBPA,SAA1
CEBPA,SERPINC1
CEBPA,SFTPD
CEBPA,SLC10A1
CEBPA,SOCS3
CEBPA,SPI1
CEBPA,SPP1
CEBPA,STAR
CEBPA,STAT3
CEBPA,TLR9
CEBPA,VLDLR
CEBPB,ABCB1
CEBPB,ADM
CEBPB,ADM
CEBPB,ALB
CEBPB,ASNS
CEBPB,BCL2L1
CEBPB,BTS1
CEBPB,CDKN1A
CEBPB,CR2
CEBPB,CRP
CEBPB,CSF3R
CEBPB,CSH1
CEBPB,CSH2
CEBPB,CSRP1
CEBPB,CXCL8
CEBPB,CXCL8
CEBPB,CYP19A1
CEBPB,CYP19A1
CEBPB,DAPK1
CEBPB,DDIT3
CEBPB,F8
CEBPB,FASLG
CEBPB,FURIN
CEBPB,GADD45G
CEBPB,GDF15
CEBPB,GFER
CEBPB,GFER
CEBPB,GNLY
CEBPB,HBB
CEBPB,HP
CEBPB,HSF1
CEBPB,IL10
CEBPB,IL13
CEBPB,IL1B
CEBPB,IL1B
CEBPB,IL24
CEBPB,IL3
CEBPB,IL4
CEBPB,IL4
CEBPB,IL5
CEBPB,IL6
CEBPB,IL6
CEBPB,INSR
CEBPB,IRF4
CEBPB,MAD1L1
CEBPB,MMP1
CEBPB,OXTR
CEBPB,PCK2
CEBPB,PLAC1
CEBPB,PRDM1
CEBPB,PRL
CEBPB,PRSS50
CEBPB,PTGS2
CEBPB,PTGS2
CEBPB,PTGS2
CEBPB,PTPN13
CEBPB,S100A9
CEBPB,SAA1
CEBPB,SAA2
CEBPB,SFTPD
CEBPB,SLC10A1
CEBPB,SLC19A1
CEBPB,SLC5A8
CEBPB,STAR
CEBPB,STAR
CEBPB,TFF3
CEBPB,TNF
CEBPB,TNFAIP6
CEBPB,TNFAIP6
CEBPB,TOP1
CEBPB,XBP1
CEBPD,C3
CEBPD,CASP8
CEBPD,CCL20
CEBPD,CXCL1
CEBPD,CYP19A1
CEBPD,DDIT3
CEBPD,DDIT3
CEBPD,GADD45G
CEBPD,GAPDH
CEBPD,IL23A
CEBPD,PDGFRA
CEBPD,POU5F1
CEBPD,PPARG
CEBPD,PRL
CEBPD,PTGS2
CEBPD,SOD1
CEBPD,TNF
CEBPD,TNFAIP6
CEBPE,CTSG
CEBPE,GATA1
CEBPE,LTF
CEBPE,MMP2
