source,target
DUOXA1,NR4A2
HMG20B,NR4A2
GRID2IP,NR4A2
ACTL6A,NR4A2
FAM205B,NR4A2
MIR1306,NR4A2
MIR200C,NR4A2
PBX4,NR4A2
PFKFB2,NR4A2
CSF2,NR4A2
CALML3,NR4A2
ZSCAN20,ESR2
VDAC2,ESR2
EIF5A,ESR2
CRHBP,ESR2
TMCO1,ESR2
ZNF780B,ESR2
TMEM99,ESR2
ZSCAN31,ESR2
KRT86,ESR2
IMP4,ESR2
EIF1AD,ESR2
WNT16,ESR2
LIMS1,ESR2
PRL,ESR2
HJURP,ESR2
KRT35,ESR2
PRH1,ESR2
RWDD3,ESR2
ITSN2,ESR2
C2ORF88,ESR2
NPEPL1,ESR2
ATP6V1G2-DDX39B,ESR2
VARS,ESR2
REXO1L2P,ESR2
REXO1L1P,ESR2
NBPF14,ESR2
MIR3687-1,ESR2
MIR3648-1,ESR2
MILR1,ESR2
LOC401242,ESR2
LINC00685,ESR2
HCG26,ESR2
FCGR1B,ESR2
FAM101B,ESR2
TNF,ESR2
RNF39,ESR2
ZFP57,ESR2
TRIM40,ESR2
TRIM26,ESR2
GTPBP6,ESR2
FLOT1,ESR2
FAM21A,ESR2
TCF19,ESR2
PRRC2A,ESR2
GNL1,ESR2
CYP21A2,ESR2
EHMT2,ESR2
BRD2,ESR2
GPR89B,ESR2
NEU1,ESR2
TNXB,ESR2
HCP5,ESR2
HLA-E,ESR2
DDX39B,ESR2
SLC25A26,ESR2
LSM2,ESR2
HOXA10,ESR2
OVGP1,ESR2
TSPAN2,ESR2
SPSB3,ESR2
EDN2,ESR2
ARHGAP23,ESR2
DDR1,ESR2
INSR,ESR2
UFSP1,ESR2
CCL22,ESR2
PTGES2,ESR2
PKN1,ESR2
FAM195B,ESR2
CCDC115,ESR2
BRAP,ESR2
MRPL28,ESR2
SH3BP5L,ESR2
SLC25A18,ESR2
GPR162,ESR2
CENPT,ESR2
SH3KBP1,ESR2
SSTR2,ESR2
MECR,ESR2
SNX22,ESR2
CCDC178,SOX9
ANKS1A,SOX9
POMGNT2,SOX9
KCNIP4-IT1,SOX9
ESPN,SOX9
OR5D13,SOX9
SNHG4,SOX9
MATR3,SOX9
ISL1,SOX9
DIO2,SOX9
LIMS1,SOX9
CDR1,SOX9
EIF2B5,SOX9
FBXO22-AS1,SOX9
MIR4280,SOX9
RNF138P1,SOX9
SNORD78,SOX9
MIR889,SOX9
OR2AG2,SOX9
SPANXA2-OT1,SOX9
CSTL1,SOX9
MEF2A,SOX9
KLHL41,SOX9
LCE2A,SOX9
FASTKD2,SOX9
MSMB,SOX9
PATL2,SOX9
C6ORF163,SOX9
LRRC7,SOX9
MECOM,SOX9
AVPR1A,SOX9
TCEANC2,SOX9
FAAH2,SOX9
CLCN3,SOX9
USH2A,SOX9
TTC1,SOX9
LCMT2,SOX9
FBXW11,SOX9
LHCGR,SOX9
WASF2,SOX9
ATP6V1G2-DDX39B,SOX9
VARS,SOX9
REXO1L2P,SOX9
REXO1L1P,SOX9
NBPF14,SOX9
MIR3687-1,SOX9
MIR3648-1,SOX9
MILR1,SOX9
LOC401242,SOX9
LINC00685,SOX9
HCG26,SOX9
FCGR1B,SOX9
FAM101B,SOX9
TNF,SOX9
RNF39,SOX9
ZFP57,SOX9
TRIM40,SOX9
TRIM26,SOX9
GTPBP6,SOX9
FLOT1,SOX9
FAM21A,SOX9
TCF19,SOX9
PRRC2A,SOX9
GNL1,SOX9
CYP21A2,SOX9
EHMT2,SOX9
BRD2,SOX9
GPR89B,SOX9
NEU1,SOX9
TNXB,SOX9
HCP5,SOX9
HLA-E,SOX9
DDX39B,SOX9
SLC25A26,SOX9
LSM2,SOX9
TTC4,SOX9
CTDNEP1,SOX9
SLC35E4,SOX9
CLDN2,SOX9
PTCHD4,SOX9
SH3GL3,SOX9
MFSD11,SOX9
PAPL,SOX9
PPP2R2B,SOX9
C10ORF53,SOX9
UBN1,SOX9
LEPREL1,SOX9
ZBP1,SOX9
PSMC4,SOX9
MIPOL1,SOX9
GIMAP6,SOX9
OR51T1,SOX9
OR6C70,SOX9
TUSC5,SOX9
UIMC1,SOX9
SCAP,SOX9
COL15A1,SOX9
ADM,SOX9
FUT10,SOX9
TDRP,SOX9
TFCP2L1,SOX9
ZCCHC17,SOX9
ZCCHC18,FOXD1
CAMKK2,FOXD1
C10orf32-ASMT,FOXD1
SNORD114-17,FOXD1
PTENP1,FOXD1
MSGN1,FOXD1
C7ORF33,FOXD1
NDE1,FOXD1
TACR1,FOXD1
PARPBP,FOXD1
PLA2G7,FOXD1
AMELY,FOXD1
METTL20,FOXD1
FBXO9,FOXD1
MOSPD2,FOXD1
ST20,FOXD1
MGST1,FOXD1
POC5,FOXD1
LRTM1,FOXD1
VARS2,FOXD1
PRSS58,FOXD1
ATP1A1-AS1,FOXD1
LOC643486,FOXD1
OR4X1,FOXD1
ADAM5,FOXD1
GPATCH3,FOXD1
GALNTL6,FOXD1
RAB27A,FOXD1
ACAN,FOXD1
CETN1,FOXD1
ATG14,FOXD1
LOC100130872,FOXD1
C4ORF27,FOXD1
CCDC173,FOXD1
CYMP,FOXD1
LOC441666,FOXD1
LOC649330,FOXD1
SNAR-E,FOXD1
MIR4263,FOXD1
SNORD114-8,FOXD1
GPR176,FOXD1
LOC729080,FOXD1
OR8H1,FOXD1
OR13C8,FOXD1
SDHC,FOXD1
DLEU2L,FOXD1
SNORA14B,FOXD1
STYX,FOXD1
LOC339568,FOXD1
MIR1247,FOXD1
TOP1P1,FOXD1
TTC14,FOXD1
MIR506,FOXD1
MIR511,FOXD1
IGFBPL1,FOXD1
MIR942,FOXD1
SERPINB10,FOXD1
TEX26,FOXD1
OR2A14,FOXD1
LRCH1,FOXD1
SLC7A10,FOXD1
TXNDC12,FOXD1
EXOSC8,FOXD1
RBM42,FOXD1
OR5T3,FOXD1
CEP95,FOXD1
UBTD1,FOXD1
HILS1,FOXD1
KAT2A,FOXD1
TRAM2,FOXD1
CDC42SE2,FOXD1
MED4,FOXD1
ZNF709,FOXD1
KLHL7,FOXD1
DLAT,FOXD1
SLC22A12,FOXD1
HSPA13,FOXD1
PIPSL,FOXD1
MAMDC2,FOXD1
DPH3,FOXD1
ISL1,FOXD1
ARHGEF12,FOXD1
MRPL37,FOXD1
SLC22A1,FOXD1
CLEC3B,FOXD1
P2RY12,FOXD1
NBEA,FOXD1
DBNDD2,FOXD1
IFIT1,FOXD1
AHCY,FOXD1
RYK,FOXD1
SBF2,FOXD1
CHM,FOXD1
LPAR6,FOXD1
TCF15,FOXD1
TINAGL1,FOXD1
ARHGAP18,FOXD1
SPON2,FOXD1
MGAT4A,FOXD1
XKR3,FOXD1
C6ORF223,FOXD1
ZNF490,FOXD1
HEBP2,FOXD1
SORBS3,FOXD1
