source,target
KHDRBS2,Cart-1
OLFM2,Barhl2
NTPCR,Barhl2
GRIP1,Barhl2
MIR548AA1,Barhl2
MIR548D1,Barhl2
ZNF804A,Barhl2
ASB7,Barhl2
KHDRBS2,Barhl2
LRRN2,Barhl2
LBX2-AS1,Barhl2
EFCAB14,Barhl2
EWSR1,Barhl2
FLRT1,Barhl2
NRG3,Barhl2
ATP9B,Barhl2
ZMYND8,Barhl2
HYPK,Barhl2
MAPKAP1,Barhl2
MSGN1,Barhl2
TSHZ1,Barhl2
JAG1,Barhl2
USP3,Barhl2
TSHZ2,Barhl2
PSMA1,Barhl2
NHLRC2,Barhl2
DSC2,Barhl2
TEX30,Barhl2
KIRREL3-AS2,Barhl2
SAP30L,Barhl2
JMJD1C,Barhl2
MIR4794,Barhl2
ZIC1,Barhl2
MIR2113,Barhl2
PHF6,Barhl2
GBE1,Barhl2
FOXP2,Barhl2
KCNJ3,Barhl2
NTNG1,Barhl2
SMARCA2,Barhl2
ASIC4,Barhl2
PRDM8,Barhl2
MEIS1,Barhl2
NEUROG1,Barhl2
HDAC9,Barhl2
SLC15A5,Barhl2
LPAR4,Barhl2
STK38L,Barhl2
PRDM12,Barhl2
INADL,Barhl2
MSL1,Barhl2
MIR4785,Barhl2
BTF3,Barhl2
CLSTN2,Barhl2
HMGA2,Barhl2
LGSN,Barhl2
XRCC6,Barhl2
MIR4297,Barhl2
DENND4B,Barhl2
ESRG,Nkx6-1
HSD11B1,Nkx6-1
EIF4G3,Nkx6-1
CCNC,Nkx6-1
POU3F4,Nkx6-1
SAMD11,Nkx6-1
HYDIN,Nkx6-1
ATP9B,Nkx6-1
WWC3,Nkx6-1
SS18,Nkx6-1
EFNA5,Nkx6-1
NEDD4L,Nkx6-1
TSHZ1,Nkx6-1
CNOT3,Nkx6-1
EFCAB6,Nkx6-1
KIRREL3-AS2,Nkx6-1
SAP30L,Nkx6-1
ATG4C,Nkx6-1
PHF6,Nkx6-1
NTNG1,Nkx6-1
TCF4,Nkx6-1
PRDM8,Nkx6-1
SETD5,Nkx6-1
MARCKS,Nkx6-1
GTDC1,Nkx6-1
WBP11P1,Nkx6-1
MIR9-2,Nkx6-1
GTDC1,STAT5A
CRYBG3,SMAD
LOC646903,SMAD
CHRNB4,SMAD
ZBTB18,SMAD
MKNK1,SMAD
PITPNA,SMAD
C10orf11,SMAD
ATP8B2,SMAD
SLC37A3,SMAD
GAD1,SMAD
VEGFA,SMAD
NRXN3,SMAD
TRIM47,SMAD
GJA8,SMAD
ABCC5,SMAD
WBP1L,SMAD
EDA,SMAD
MIR938,SMAD
LOC643711,SMAD
KIAA1614,SMAD
DENND1B,SMAD
GRIA3,SMAD
RHBDD3,SMAD
NFE2L1,SMAD
JARID2,SMAD
ACVR1B,SMAD
GLCCI1,SMAD
NSF,SMAD
PCDHGC4,SMAD
SASH3,SMAD
FZD8,SMAD
GTDC1,SMAD
MIR9-2,SMAD
ZEB2,SMAD
E2F3,SMAD
EIF3E,Pax-6
DTD1,Pax-6
FNDC7,Pax-6
FANCD2OS,Pax-6
HOXA11-AS,Pax-6
SNORA51,Pax-6
RNF167,Pax-6
EGFR-AS1,Pax-6
SVIL,Pax-6
DYRK1B,Pax-6
TET3,Pax-6
WDR34,Pax-6
MED15,Pax-6
MAPT,Pax-6
NRD1,Pax-6
FAM168A,Pax-6
SLC12A5,Pax-6
MIR4451,Pax-6
FGF17,Pax-6
TDRD1,Pax-6
KTN1-AS1,Pax-6
LINC00461,Pax-6
PBX2,Pax-6
COG4,Pax-6
SRGAP2,Pax-6
MIR4467,Pax-6
C1orf85,Pax-6
DNMT3A,Pax-6
PCNXL3,Pax-6
CNTLN,Pax-6
AKAP8L,Pax-6
GRIA3,Pax-6
ERN2,Pax-6
LPHN2,Pax-6
AGAP3,Pax-6
IL2RG,Pax-6
FAM162A,Pax-6
TTC9C,Pax-6
CPEB4,Pax-6
EFR3A,Pax-6
HOXC10,Pax-6
LYRM1,Pax-6
LINC00599,Pax-6
GTDC1,Pax-6
SERINC4,Pax-6
NEU1,Pax-6
IGF1R,CP2/LBP-1c/LSF
GRHL3,CP2/LBP-1c/LSF
SYT17,CP2/LBP-1c/LSF
PIM1,CP2/LBP-1c/LSF
KCND1,CP2/LBP-1c/LSF
ZBTB18,AP-2
IGF1R,AP-2
CHRM3,AP-2
SNORA48,AP-2
SMCHD1,MEIS1B:HOXA9
NKTR,MEIS1B:HOXA9
ZBTB18,MEIS1B:HOXA9
EFNA5,MEIS1B:HOXA9
SGK3,MEIS1B:HOXA9
CAMK2N1,MEIS1B:HOXA9
HOXB-AS3,MEIS1B:HOXA9
PAX9,MEIS1B:HOXA9
TTC12,MEIS1B:HOXA9
PRDM8,MEIS1B:HOXA9
HAS2-AS1,MEIS1B:HOXA9
FZD8,MEIS1B:HOXA9
TFAP2A,MEIS1B:HOXA9
MIR615,MEIS1A:HOXA9
SMCHD1,MEIS1A:HOXA9
ZBTB18,MEIS1A:HOXA9
DCAKD,MEIS1A:HOXA9
EFNA5,MEIS1A:HOXA9
NRP1,MEIS1A:HOXA9
SGK3,MEIS1A:HOXA9
CAMK2N1,MEIS1A:HOXA9
PAX9,MEIS1A:HOXA9
TTC12,MEIS1A:HOXA9
CHD3,MEIS1A:HOXA9
TLE4,MEIS1A:HOXA9
FZD8,MEIS1A:HOXA9
TFAP2A,MEIS1A:HOXA9
PRDM1,HB9
TLE4,HB9
NR1D1,Sp3
PRDM1,Sp3
PPP2R2A,FOXO3A
CDK15,FOXO3A
NPEPPS,FOXO3A
PEX5L,FOXO3A
PRDM1,FOXO3A
MIR4801,FOXO3A
B3GALTL,FOXO3A
ATPAF2,Pitx1
SIX1,TAL1::TCF3
HSD11B1,TAL1::TCF3
MIR4493,TAL1::TCF3
MIR384,TAL1::TCF3
MIR3120,TAL1::TCF3
MYL2,TAL1::TCF3
C9orf3,TAL1::TCF3
SPTY2D1-AS1,TAL1::TCF3
MARK1,TAL1::TCF3
SCUBE1,TAL1::TCF3
EFCAB11,TAL1::TCF3
ARHGAP42,TAL1::TCF3
TLE1,TAL1::TCF3
ATP2A2,TAL1::TCF3
WBSCR17,TAL1::TCF3
BARD1,TAL1::TCF3
NOX4,TAL1::TCF3
CBFA2T2,TAL1::TCF3
PRSS23,TAL1::TCF3
3-Sep,TAL1::TCF3
DPP10,TAL1::TCF3
SRPR,TAL1::TCF3
GAP43,TAL1::TCF3
MYL4,TAL1::TCF3
SERINC3,TAL1::TCF3
CCDC129,TAL1::TCF3
LINC00469,TAL1::TCF3
STK33,TAL1::TCF3
MIR1258,TAL1::TCF3
RUNX1T1,TAL1::TCF3
NPPC,TAL1::TCF3
SEMA6D,TAL1::TCF3
PABPC5,TAL1::TCF3
NMI,TAL1::TCF3
KCNK2,TAL1::TCF3
ALCAM,TAL1::TCF3
TCF12,TAL1::TCF3
FOXN3-AS1,TAL1::TCF3
UBXN10,TAL1::TCF3
ELAVL4,TAL1::TCF3
NPR2,TAL1::TCF3
ABHD14B,TAL1::TCF3
DLL4,TAL1::TCF3
FAM160B1,TAL1::TCF3
IL5RA,TAL1::TCF3
ZC3H3,TAL1::TCF3
RCAN3,TAL1::TCF3
ATPAF2,TAL1::TCF3
RALGAPA2,TAL1::TCF3
VWA5B1,TAL1::TCF3
LOC400927,TAL1::TCF3
HIVEP3,TAL1::TCF3
KIRREL2,TAL1::TCF3
MEX3A,TAL1::TCF3
ICT1,TAL1::TCF3
ZBTB38,TAL1::TCF3
LIMCH1,TAL1::TCF3
ZBTB20,TAL1::TCF3
EIF3H,TAL1::TCF3
FBXL7,TAL1::TCF3
PLCL2,TAL1::TCF3
PRDM1,TAL1::TCF3
C2orf91,TAL1::TCF3
NXPH4,TAL1::TCF3
SYT17,TAL1::TCF3
BANK1,TAL1::TCF3
NR5A2,TAL1::TCF3
FAM78B,TAL1::TCF3
ACAP3,TAL1::TCF3
NAV3,TAL1::TCF3
FAM118B,TAL1::TCF3
REC8,TAL1::TCF3
COL1A2,TAL1::TCF3
XPNPEP2,TAL1::TCF3
PPM1G,TAL1::TCF3
LOC401463,TAL1::TCF3
TP53INP2,TAL1::TCF3
C19orf67,TAL1::TCF3
CNTN1,TAL1::TCF3
BACH1,TAL1::TCF3
TFEC,TAL1::TCF3
BRE,TAL1::TCF3
MBNL2,TAL1::TCF3
